name,prefix_type,name_IAST
pakzI,cvi,pakṣī
pawU,cvi,paṭū
paRI,cvi,paṇī
pattalI,cvi,pattalī
padI,cvi,padī
payoDarI,cvi,payodharī
parasavarRI,cvi,parasavarṇī
parasAt,other,parasāt
parANmuKI,cvi,parāṅmukhī
pariDAnI,cvi,paridhānī
pariDI,cvi,paridhī
paripanTI,cvi,paripanthī
paripiNgI,cvi,paripiṅgī
parivArI,cvi,parivārī
parivyAkulI,cvi,parivyākulī
pariz,other,pariṣ
paruzI,cvi,paruṣī
paropakaraRI,cvi,paropakaraṇī
paryagni,other,paryagni
paryantI,cvi,paryantī
paryAkulI,cvi,paryākulī
paryutsukI,cvi,paryutsukī
parvatI,cvi,parvatī
pallavI,cvi,pallavī
palvalI,cvi,palvalī
pavitratarI,cvi,pavitratarī
pavitrI,cvi,pavitrī
paSU,cvi,paśū
pAwalI,cvi,pāṭalī
pARqurIkaraRa,other,pāṇḍurīkaraṇa
pAtrasAt,other,pātrasāt
pAtrI,cvi,pātrī
picCilI,cvi,picchilī
piYjarI,cvi,piñjarī
piRqI,cvi,piṇḍī
piSaNgI,cvi,piśaṅgī
pizwI,cvi,piṣṭī
puRyatarI,cvi,puṇyatarī
puRyI,cvi,puṇyī
putrI,cvi,putrī
punaruktI,cvi,punaruktī
purataH,other,purataḥ
puras,other,puras
puruzI,cvi,puruṣī
puzpameGI,cvi,puṣpameghī
pUrRI,cvi,pūrṇī
pUrvapakzI,cvi,pūrvapakṣī
pUrvAparI,cvi,pūrvāparī
pfTak,other,pṛthak
pfTag,other,pṛthag
pfTutarI,cvi,pṛthutarī
pfTU,cvi,pṛthū
pfzWake,other,pṛṣṭhake
pfzWI,cvi,pṛṣṭhī
peSalI,cvi,peśalī
pezI,cvi,peṣī
powwalI,cvi,poṭṭalī
pra,other,pra
prakawI,cvi,prakaṭī
prakASI,cvi,prakāśī
praguRI,cvi,praguṇī
pracaRqatarI,cvi,pracaṇḍatarī
pracurI,cvi,pracurī
pracCannI,cvi,pracchannī
praRamrI,cvi,praṇamrī
praRayI,cvi,praṇayī
pratanU,cvi,pratanū
pratapane,other,pratapane
pratibimbI,cvi,pratibimbī
pratyakzavizayI,cvi,pratyakṣaviṣayī
pratyakzI,cvi,pratyakṣī
pratyanantarI,cvi,pratyanantarī
pratyantarI,cvi,pratyantarī
pratyArdrI,cvi,pratyārdrī
pratyuttarI,cvi,pratyuttarī
pradakziRI,cvi,pradakṣiṇī
prabalI,cvi,prabalī
pramlAnI,cvi,pramlānī
pralambI,cvi,pralambī
pravaRaviDeyI,cvi,pravaṇavidheyī
pravaRI,cvi,pravaṇī
pravIRI,cvi,pravīṇī
prasAdI,cvi,prasādī
prA,DAc,prā
prAYjalI,cvi,prāñjalī
prABftI,cvi,prābhṛtī
priyA,DAc,priyā
priyAmuKI,cvi,priyāmukhī
premarASI,cvi,premarāśī
prOQI,cvi,prauḍhī
PalI,cvi,phalī
Put,other,phut
baDirI,cvi,badhirī
banDU,cvi,bandhū
bahalI,cvi,bahalī
bahulI,cvi,bahulī
bARAsanI,cvi,bāṇāsanī
bIjaruhA,DAc,bījaruhā
bIjA,DAc,bījā
brAhmaRI,cvi,brāhmaṇī
BadrA,DAc,bhadrā
BasmA,DAc,bhasmā
BasmI,cvi,bhasmī
BAgI,cvi,bhāgī
BAvayatI,cvi,bhāvayatī
BImaBavI,cvi,bhīmabhavī
BftyI,cvi,bhṛtyī
BfSI,cvi,bhṛśī
BraMSakalA,DAc,bhraṃśakalā
maYjarI,cvi,mañjarī
matI,cvi,matī
mad,other,mad
madrA,DAc,madrā
manI,cvi,manī
manujI,cvi,manujī
mantravaSI,cvi,mantravaśī
mandI,cvi,mandī
mayUrI,cvi,mayūrī
marU,cvi,marū
martyI,cvi,martyī
maryAdI,cvi,maryādī
malinI,cvi,malinī
mazmazA,DAc,maṣmaṣā
mahI,cvi,mahī
mAYjizWI,cvi,māñjiṣṭhī
mAtrI,cvi,mātrī
mAnuzI,cvi,mānuṣī
mArdavI,cvi,mārdavī
mAsI,cvi,māsī
mitrI,cvi,mitrī
miTunI,cvi,mithunī
miSrI,cvi,miśrī
mukulI,cvi,mukulī
muKarI,cvi,mukharī
muKI,cvi,mukhī
muYjI,cvi,muñjī
muzwI,cvi,muṣṭī
musalI,cvi,musalī
mUkI,cvi,mūkī
mUrKI,cvi,mūrkhī
mUlI,cvi,mūlī
mfdU,cvi,mṛdū
meKalI,cvi,mekhalī
moGI,cvi,moghī
yAnI,cvi,yānī
yUTI,cvi,yūthī
yUpI,cvi,yūpī
rajI,cvi,rajī
rajjU,cvi,rajjū
rahI,cvi,rahī
rAjamArgI,cvi,rājamārgī
rAjasAt,other,rājasāt
rASI,cvi,rāśī
riktI,cvi,riktī
rUpI,cvi,rūpī
rE,other,rai
lakzI,cvi,lakṣī
lakzyI,cvi,lakṣyī
laGU,cvi,laghū
liptI,cvi,liptī
lohitI,cvi,lohitī
vakrI,cvi,vakrī
vajrasArI,cvi,vajrasārī
varaDarmI,cvi,varadharmī
varRI,cvi,varṇī
vartI,cvi,vartī
valayI,cvi,valayī
vaSI,cvi,vaśī
vahanI,cvi,vahanī
vahnisAt,other,vahnisāt
vAjI,cvi,vājī
vAntI,cvi,vāntī
vAmI,cvi,vāmī
vAlavyajanI,cvi,vālavyajanī
vAhanI,cvi,vāhanī
vikacI,cvi,vikacī
vikawI,cvi,vikaṭī
vikalI,cvi,vikalī
viklavI,cvi,viklavī
viguRI,cvi,viguṇī
vicUrRI,cvi,vicūrṇī
vicCAyI,cvi,vicchāyī
vijawI,cvi,vijaṭī
vijanI,cvi,vijanī
vijarjarI,cvi,vijarjarī
vitatI,cvi,vitatī
vitaTI,cvi,vitathī
vitAnI,cvi,vitānī
vituzI,cvi,vituṣī
vidUrI,cvi,vidūrī
vidyADarI,cvi,vidyādharī
viDanI,cvi,vidhanī
vipakzI,cvi,vipakṣī
vipurI,cvi,vipurī
vipulI,cvi,vipulī
vipfzWI,cvi,vipṛṣṭhī
vipra,other,vipra
viprasAt,other,viprasāt
viPalI,cvi,viphalī
viBAgI,cvi,vibhāgī
viBinnI,cvi,vibhinnī
vimadI,cvi,vimadī
vimAnI,cvi,vimānī
vimuKI,cvi,vimukhī
virajI,cvi,virajī
viraTI,cvi,virathī
viralI,cvi,viralī
virasI,cvi,virasī
virahI,cvi,virahī
vilakzI,cvi,vilakṣī
vivaSI,cvi,vivaśī
viSadI,cvi,viśadī
viSezaRI,cvi,viśeṣaṇī
viSokI,cvi,viśokī
viSrI,cvi,viśrī
vizamI,cvi,viṣamī
vizayI,cvi,viṣayī
vispazwI,cvi,vispaṣṭī
veSyAyattI,cvi,veśyāyattī
vErI,cvi,vairī
vyaktI,cvi,vyaktī
vyaNgI,cvi,vyaṅgī
vyaNgulI,cvi,vyaṅgulī
vyajanI,cvi,vyajanī
vyantI,cvi,vyantī
vyayI,cvi,vyayī
vyarTI,cvi,vyarthī
vyasanI,cvi,vyasanī
vyAkulI,cvi,vyākulī
vyAkoSI,cvi,vyākośī
vyAjI,cvi,vyājī
vyAnamrI,cvi,vyānamrī
vyUhI,cvi,vyūhī
SakalA,DAc,śakalā
SakalI,cvi,śakalī
SataguRI,cvi,śataguṇī
SataBaNgI,cvi,śatabhaṅgī
SabarI,cvi,śabarī
SambA,DAc,śambā
SayanI,cvi,śayanī
SaraRI,cvi,śaraṇī
SarI,cvi,śarī
SarIrI,cvi,śarīrī
SaSI,cvi,śaśī
SAkarasI,cvi,śākarasī
SAlInI,cvi,śālīnī
SiTilI,cvi,śithilī
SilI,cvi,śilī
SiSirI,cvi,śiśirī
SizyI,cvi,śiṣyī
SIt,other,śīt
SItalI,cvi,śītalī
SItI,cvi,śītī
SIrRI,cvi,śīrṇī
SukI,cvi,śukī
SukrI,cvi,śukrī
SuklI,cvi,śuklī
SucI,cvi,śucī
SuBI,cvi,śubhī
SuBrI,cvi,śubhrī
SUdrI,cvi,śūdrī
SUnyI,cvi,śūnyī
SUrI,cvi,śūrī
SUlA,DAc,śūlā
SeKarI,cvi,śekharī
SezI,cvi,śeṣī
SoRI,cvi,śoṇī
SyAmalI,cvi,śyāmalī
SyAmI,cvi,śyāmī
SyetI,cvi,śyetī
Srat,other,śrat
SrotriyasAt,other,śrotriyasāt
SlakzRI,cvi,ślakṣṇī
SlaTI,cvi,ślathī
zaqguRI,cvi,ṣaḍguṇī
saMkarI,cvi,saṃkarī
saMketI,cvi,saṃketī
saMkramI,cvi,saṃkramī
saMGI,cvi,saṃghī
saMjYopasarjanI,cvi,saṃjñopasarjanī
saMviBAgI,cvi,saṃvibhāgī
saMs,other,saṃs
sakalI,cvi,sakalī
sajjI,cvi,sajjī
sajyI,cvi,sajyī
sat,other,sat
sattrI,cvi,sattrī
satyA,DAc,satyā
sanATI,cvi,sanāthī
sapattrA,DAc,sapattrā
sapiRqI,cvi,sapiṇḍī
saPalI,cvi,saphalī
samacCedI,cvi,samacchedī
samayA,DAc,samayā
samayI,cvi,samayī
samalaM,other,samalaṃ
samalI,cvi,samalī
samasTalI,cvi,samasthalī
samI,cvi,samī
samIpI,cvi,samīpī
samfdDI,cvi,samṛddhī
sampuwI,cvi,sampuṭī
sammuKI,cvi,sammukhī
saralI,cvi,saralī
sarasI,cvi,sarasī
sarpI,cvi,sarpī
saviDI,cvi,savidhī
sahAyI,cvi,sahāyī
sahArTI,cvi,sahārthī
sAkzAt,other,sākṣāt
sAkzAd,other,sākṣād
sAkzimAtrA,DAc,sākṣimātrā
sAkzI,cvi,sākṣī
sAcI,cvi,sācī
sAtmI,cvi,sātmī
sADanI,cvi,sādhanī
sADAraRI,cvi,sādhāraṇī
sAndrI,cvi,sāndrī
sArasvatOzaDI,cvi,sārasvatauṣadhī
sArTI,cvi,sārthī
sAvaDAnI,cvi,sāvadhānī
sAvayavI,cvi,sāvayavī
siMhavyAGrAmizI,cvi,siṃhavyāghrāmiṣī
siMhI,cvi,siṃhī
sitI,cvi,sitī
suKA,DAc,sukhā
suguptI,cvi,suguptī
suDI,cvi,sudhī
suPalI,cvi,suphalī
sumanI,cvi,sumanī
suraBI,cvi,surabhī
suvarRI,cvi,suvarṇī
susajjI,cvi,susajjī
susamI,cvi,susamī
sUkzmI,cvi,sūkṣmī
sUtrI,cvi,sūtrī
sfk,other,sṛk
somI,cvi,somī
skanDI,cvi,skandhī
stabDI,cvi,stabdhī
stamBI,cvi,stambhī
starI,cvi,starī
sTapuwI,cvi,sthapuṭī
sTalapaTI,cvi,sthalapathī
sTalI,cvi,sthalī
sTAyI,cvi,sthāyī
sTirI,cvi,sthirī
spazwI,cvi,spaṣṭī
sPArI,cvi,sphārī
sPItI,cvi,sphītī
sPuwI,cvi,sphuṭī
smarezuDI,cvi,smareṣudhī
svagA,DAc,svagā
svapatI,cvi,svapatī
svarasI,cvi,svarasī
svalpI,cvi,svalpī
