name,name_IAST
avareRa,avareṇa
avarzatarkye,avarṣatarkye
avalIlayA,avalīlayā
avalokezu,avalokeṣu
avaSezam,avaśeṣam
avaSyam,avaśyam
avazwaBya,avaṣṭabhya
avas,avas
avasare,avasare
avasalavi,avasalavi
avasavi,avasavi
avastAt,avastāt
avahelayA,avahelayā
avAk,avāk
avAk,avāk
avANnABi,avāṅnābhi
avAYcam,avāñcam
avAntarAm,avāntarām
avAritam,avāritam
avikalpam,avikalpam
avigaRayya,avigaṇayya
aviGnatas,avighnatas
aviGnena,avighnena
avicAraRAt,avicāraṇāt
avicAram,avicāram
avicAritam,avicāritam
avicCedAt,avicchedāt
avicCedena,avicchedena
avijYAnAt,avijñānāt
avitaTam,avitatham
avitaTena,avitathena
avida,avida
aviditam,aviditam
avidUratas,avidūratas
avidUram,avidūram
avidUrAt,avidūrāt
avidUre,avidūre
avidyamAnavat,avidyamānavat
aviDA,avidhā
aviDAnatas,avidhānatas
aviDinA,avidhinā
aviDipUrvakam,avidhipūrvakam
aviparyayAt,aviparyayāt
aviparyAsam,aviparyāsam
aviBAgena,avibhāgena
avimuKam,avimukham
aviratam,aviratam
aviralam,aviralam
avirAmam,avirāmam
avilagnam,avilagnam
avilambam,avilambam
avilambitam,avilambitam
avilambena,avilambena
avilambya,avilambya
avivararm,avivararm
avivekam,avivekam
avivecam,avivecam
avivenam,avivenam
aviSaNkitam,aviśaṅkitam
aviSezatas,aviśeṣatas
aviSezAt,aviśeṣāt
aviSezeRa,aviśeṣeṇa
aviSrAmam,aviśrāmam
avizamam,aviṣamam
avfTA,avṛthā
avelam,avelam
avyaktam,avyaktam
avyagram,avyagram
avyatizaNgam,avyatiṣaṅgam
avyaBicArAt,avyabhicārāt
avyaBicAreRa,avyabhicāreṇa
avyalIkam,avyalīkam
avyavacCinnam,avyavacchinnam
avyavAnam,avyavānam
aSaNkam,aśaṅkam
aSaNkitam,aśaṅkitam
aSam,aśam
aSezatas,aśeṣatas
aSezam,aśeṣam
aSezeRa,aśeṣeṇa
aSrameRa,aśrameṇa
aSravaRAt,aśravaṇāt
aSrutavat,aśrutavat
aSvameDavat,aśvamedhavat
azwakftvas,aṣṭakṛtvas
azwaDA,aṣṭadhā
azwAdaSaDA,aṣṭādaśadhā
azwAviMSatiDA,aṣṭāviṃśatidhā
asaMKyaSas,asaṃkhyaśas
asaMgItakam,asaṃgītakam
asaMdigDam,asaṃdigdham
asaMprati,asaṃprati
asaMBavyam,asaṃbhavyam
asaMBAvyam,asaṃbhāvyam
asaMBramam,asaṃbhramam
asaMBrAntam,asaṃbhrāntam
asaMroDena,asaṃrodhena
asaMvyavahitam,asaṃvyavahitam
asaMSayam,asaṃśayam
asaMSravaRe,asaṃśravaṇe
asaMSrAvam,asaṃśrāvam
asaMsaktam,asaṃsaktam
asaMsvAdam,asaṃsvādam
asakft,asakṛt
asaktam,asaktam
asaNgAt,asaṅgāt
asaNgena,asaṅgena
asadyas,asadyas
asamakzam,asamakṣam
asamagram,asamagram
asamaYjasam,asamañjasam
asamavahitam,asamavahitam
asamyak,asamyak
asarvaSas,asarvaśas
asavye,asavye
asaScatA,asaścatā
asAMpratam,asāṃpratam
asAkzAt,asākṣāt
asADu,asādhu
asAmi,asāmi
asAmnA,asāmnā
asUre,asūre
asUryam,asūryam
astam,astam
astamite,astamite
astA,astā
asti,asti
astinAsti,astināsti
asTA,asthā
asTAne,asthāne
asmatrA,asmatrā
asmadryak,asmadryak
asmadvat,asmadvat
asmfti,asmṛti
asyasi,asyasi
asvaram,asvaram
aha,aha
aharahar,aharahar
aharjaram,aharjaram
ahardivam,ahardivam
aharniSam,aharniśam
aharvyatyAsam,aharvyatyāsam
ahaSSas,ahaśśas
ahaha,ahaha
ahahA,ahahā
ahahAre,ahahāre
ahAvas,ahāvas
ahutAByudite,ahutābhyudite
ahfRIyamAnam,ahṛṇīyamānam
ahe,ahe
ahEtukam,ahaitukam
aho,aho
ahorAtram,ahorātram
ahnAya,ahnāya
ahnAya,ahnāya
A,ā
AkaRWam,ākaṇṭham
AkarRam,ākarṇam
AkarRamUlam,ākarṇamūlam
Akalpam,ākalpam
AkalpAntam,ākalpāntam
AkAyam,ākāyam
AkAlam,ākālam
AkAlikAtIram,ākālikātīram
AkASe,ākāśe
AkIwapataMgapipIlakam,ākīṭapataṃgapipīlakam
AkIm,ākīm
AkIrRe,ākīrṇe
Ake,āke
AkozWam,ākoṣṭham
AkrAntitas,ākrāntitas
AklI,āklī
AKyayA,ākhyayā
AgaRqa,āgaṇḍa
Agamanatas,āgamanatas
AgarBam,āgarbham
AgrahAt,āgrahāt
AgrahAyaRam,āgrahāyaṇam
AgrahAyaRi,āgrahāyaṇi
AgraheRa,āgraheṇa
AGarGaram,āghargharam
Acaturam,ācaturam
AcandratArakam,ācandratārakam
Acandram,ācandram
Ajanma,ājanma
Ajarasam,ājarasam
AjAnu,ājānu
AjIrRAntam,ājīrṇāntam
AjIvam,ājīvam
AjIvitAntam,ājīvitāntam
Aw,āṭ
AQyapadi,āḍhyapadi
At,āt
AtAlI,ātālī
AtizWadgu,ātiṣṭhadgu
Atfpti,ātṛpti
Atmagatam,ātmagatam
Atmavat,ātmavat
AtmasAt,ātmasāt
AtmArTam,ātmārtham
AtmArTe,ātmārthe
AdaDIci,ādadhīci
AdaSAham,ādaśāham
AdAya,ādāya
Aditas,āditas
Adityavat,ādityavat
AdinAntam,ādināntam
Adfzwigocaram,ādṛṣṭigocaram
Adfzwiprasaram,ādṛṣṭiprasaram
AdehadAham,ādehadāham
AdO,ādau
Adyantavat,ādyantavat
AdvAdaSam,ādvādaśam
AdvAram,ādvāram
AnABi,ānābhi
AniSam,āniśam
AnukUlyatas,ānukūlyatas
Anuzak,ānuṣak
AnfSaMsyatas,ānṛśaṃsyatas
Antam,āntam
ApAwaliputram,āpāṭaliputram
ApAtatas,āpātatas
ApAdatalamastakam,āpādatalamastakam
ApArzRi,āpārṣṇi
Apfk,āpṛk
Apradivam,āpradivam
Aprapadam,āprapadam
AprAvfzam,āprāvṛṣam
Abarham,ābarham
AbAlam,ābālam
AbAlyam,ābālyam
Abilam,ābilam
Abdam,ābdam
Abrahma,ābrahma
AbrahmasaBam,ābrahmasabham
ABUtasaMplavam,ābhūtasaṃplavam
AByantaram,ābhyantaram
Am,ām
Amajjam,āmajjam
AmaDyAhnam,āmadhyāhnam
Amantrya,āmantrya
AmaraRam,āmaraṇam
AmuKam,āmukham
AmUrDAntam,āmūrdhāntam
AmUlam,āmūlam
AmeKalam,āmekhalam
Ayatam,āyatam
AyatayA,āyatayā
AyatIgavam,āyatīgavam
AyatIsamam,āyatīsamam
AyAmatas,āyāmatas
Ayuzak,āyuṣak
Ayojanam,āyojanam
ArakAt,ārakāt
ArAt,ārāt
ArAttAt,ārāttāt
ArAtrivivAsam,ārātrivivāsam
Are,āre
Aryahalam,āryahalam
Alambam,ālambam
AlozwI,āloṣṭī
Avatsaram,āvatsaram
AvatsarAntam,āvatsarāntam
Avartam,āvartam
AvAriDi,āvāridhi
AviHsUrye,āviḥsūrye
Avis,āvis
AvistarAm,āvistarām
AvfdDabAlakam,āvṛddhabālakam
Avyuzam,āvyuṣam
ASayatas,āśayatas
ASarIram,āśarīram
ASiKam,āśikham
ASiraHpadam,āśiraḥpadam
ASu,āśu
ASumat,āśumat
ASuyA,āśuyā
AScaryam,āścaryam
ASrayatas,āśrayatas
ASravaRam,āśravaṇam
As,ās
AsaMsAram,āsaṃsāram
Asakti,āsakti
AsaNgam,āsaṅgam
AsapiRqakriyAkarma,āsapiṇḍakriyākarma
AsamApti,āsamāpti
AsamudrAntam,āsamudrāntam
AsAt,āsāt
AsAdya,āsādya
AsAyam,āsāyam
AsImAntam,āsīmāntam
Asfzwi,āsṛṣṭi
Aha,āha
AhavanIyatas,āhavanīyatas
AhUya,āhūya
Aho,āho
Ahosvit,āhosvit
i,i
ikzuBaYjam,ikṣubhañjam
icCayA,icchayā
itaHpraBfti,itaḥprabhṛti
itaratas,itaratas
itaratra,itaratra
itaraTA,itarathā
itarad,itarad
itaredyus,itaredyus
itas,itas
itastatas,itastatas
iti,iti
itikrameRa,itikrameṇa
itipARini,itipāṇini
itivat,itivat
itiha,itiha
itihari,itihari
itomuKam,itomukham
itTam,ittham
itTamkAram,itthamkāram
itTA,itthā
itTAt,itthāt
ityarTam,ityartham
ityahe,ityahe
ityevamAdi,ityevamādi
id,id
idam,idam
idamprakAram,idamprakāram
idA,idā
idAnIm,idānīm
imaTA,imathā
iva,iva
izitatvatA,iṣitatvatā
iziram,iṣiram
izumAtram,iṣumātram
izwatas,iṣṭatas
izwam,iṣṭam
izwvInam,iṣṭvīnam
is,is
iha,iha
ihatra,ihatra
ihaloke,ihaloke
ihasamaye,ihasamaye
ihasTAne,ihasthāne
ihAmutra,ihāmutra
ihArTam,ihārtham
iheha,iheha
I,ī
Iti,īti
Im,īm
ISake,īśake
Iz,īṣ
Izat,īṣat
Ihatas,īhatas
u,u
u,u
uka,uka
uktavarjam,uktavarjam
uccakEs,uccakais
uccaSas,uccaśas
uccA,uccā
uccEHkAram,uccaiḥkāram
uccEHSabdam,uccaiḥśabdam
uccEs,uccais
uccEstamAm,uccaistamām
uccEstarAm,uccaistarām
ut,ut
uta,uta
