root,hom,class,voice,root_IAST
cezw,,1,para,ceṣṭ
cyu,1,10,para,cyu
cyu,2,1,para,cyu
cyut,2,1,para,cyut
cyus,,10,para,cyus
Cad,1,1,atma,chad
Cad,1,10,atma,chad
Cad,3,10,atma,chad
Cad,3,1,atma,chad
Cam,,1,para,cham
Cal,,10,para,chal
Caz,,1,para,chaṣ
Cid,,7,atma,chid
Cid,,9,atma,chid
Cuw,,6,para,chuṭ
Cuw,,10,para,chuṭ
Cup,,6,para,chup
Cur,,6,para,chur
Cfd,,7,para,chṛd
Cfd,,1,atma,chṛd
Co,,4,para,cho
Cyu,,1,atma,chyu
jaMs,,1,para,jaṃs
jaMs,,10,para,jaṃs
jakz,2,2,atma,jakṣ
jaNkz,,1,para,jaṅkṣ
jaj,,1,para,jaj
jaYj,,1,para,jañj
jaw,,1,para,jaṭ
jan,,1,atma,jan
jan,,10,atma,jan
jan,,3,atma,jan
jan,,4,atma,jan
jan,,2,atma,jan
jap,,1,atma,jap
jaB,1,1,para,jabh
jaB,2,1,atma,jabh
jam,2,1,para,jam
jamB,2,1,atma,jambh
jarc,,1,para,jarc
jarts,,1,para,jarts
jal,,1,para,jal
jal,,10,para,jal
jalp,,1,atma,jalp
jaz,,1,para,jaṣ
jas,,1,atma,jas
jas,,4,para,jas
jAgf,,2,atma,jāgṛ
jAgf,,1,atma,jāgṛ
ji,1,1,atma,ji
ji,1,9,atma,ji
jinv,,1,para,jinv
jim,,1,para,jim
jiri,,5,para,jiri
jiz,,1,para,jiṣ
jIv,,1,atma,jīv
juNg,,1,para,juṅg
juYc,,1,para,juñc
juYc,,10,para,juñc
juw,,6,para,juṭ
juq,,6,para,juḍ
juq,,10,para,juḍ
jut,,1,atma,jut
jun,,6,para,jun
jur,1,4,para,jur
jur,1,6,para,jur
jul,,10,para,jul
juz,1,6,atma,juṣ
juz,1,3,para,juṣ
juz,1,1,para,juṣ
jU,1,1,atma,jū
jU,1,9,para,jū
jU,1,1,para,jū
jUr,1,4,atma,jūr
jUr,2,4,atma,jūr
jUrv,,1,para,jūrv
jUz,,1,para,jūṣ
jf,1,1,para,jṛ
jf,2,1,atma,jṛ
jfmB,,1,atma,jṛmbh
jF,1,1,para,jṝ
jF,1,4,para,jṝ
jF,1,1,atma,jṝ
jF,1,9,atma,jṝ
jF,1,10,atma,jṝ
jF,2,1,atma,jṝ
jez,,1,atma,jeṣ
jeh,,1,atma,jeh
jE,,1,para,jai
jYA,1,9,para,jñā
jYA,1,3,atma,jñā
jyA,1,9,para,jyā
jyA,1,4,atma,jyā
jyu,,1,atma,jyu
jyut,,1,atma,jyut
jyo,,1,atma,jyo
jri,1,1,para,jri
jri,3,1,para,jri
jri,3,9,para,jri
jri,3,10,para,jri
jrI,,1,para,jrī
