root,hom,class,voice,root_IAST
mi,1,5,para,mi
miC,,6,para,mich
miYj,,10,para,miñj
mitraya,,denom,para,mitraya
mitrAya,,denom,atma,mitrāya
mitrIya,,denom,para,mitrīya
miT,,1,para,mith
miTunAya,,denom,atma,mithunāya
mid,1,1,para,mid
mid,2,1,atma,mid
mid,2,4,para,mid
mid,2,10,para,mid
miD,,1,para,midh
mind,2,1,atma,mind
mind,2,4,para,mind
mind,2,10,para,mind
mil,,6,para,mil
miS,,1,para,miś
miSr,,10,para,miśr
miz,1,6,para,miṣ
miz,2,1,para,miṣ
mizamizAya,,denom,atma,miṣamiṣāya
mis,,4,para,mis
mih,1,1,para,mih
mI,1,9,para,mī
mI,3,1,para,mī
mI,3,10,para,mī
mIm,,1,para,mīm
mIl,,1,para,mīl
mIv,1,1,para,mīv
mIv,2,1,para,mīv
mukurAya,,denom,atma,mukurāya
mukulaya,,denom,para,mukulaya
mukulAya,,denom,atma,mukulāya
muKaraya,,denom,para,mukharaya
muc,1,1,atma,muc
muc,2,6,para,muc
muC,,1,para,much
muj,,1,para,muj
muj,,10,para,muj
muYc,,1,para,muñc
muYc,,1,atma,muñc
muYj,,1,para,muñj
muYj,,10,para,muñj
muw,,1,para,muṭ
muw,,6,para,muṭ
muw,,10,para,muṭ
muq,,1,para,muḍ
muR,,6,para,muṇ
muRw,,1,para,muṇṭ
muRW,,1,atma,muṇṭh
muRq,,1,para,muṇḍ
muRq,,1,atma,muṇḍ
muRqaya,,denom,para,muṇḍaya
mud,1,10,para,mud
mud,2,1,atma,mud
mudraya,,denom,para,mudraya
mur,3,6,para,mur
murC,,1,para,murch
murmurIya,,denom,para,murmurīya
murv,,1,para,murv
muz,1,1,para,muṣ
muz,2,9,para,muṣ
muz,2,1,para,muṣ
muz,2,6,para,muṣ
muzAya,,denom,para,muṣāya
mus,,4,para,mus
must,,10,para,must
muh,1,4,para,muh
mU,,1,atma,mū
mUtraya,,denom,atma,mūtraya
mUrC,,1,para,mūrch
mUl,,1,para,mūl
mUz,1,1,para,mūṣ
mf,,6,atma,mṛ
mf,,1,para,mṛ
mfkz,,1,para,mṛkṣ
mfg,,4,para,mṛg
mfg,,10,atma,mṛg
mfc,1,10,para,mṛc
mfc,1,4,para,mṛc
mfC,,6,atma,mṛch
mfj,1,2,para,mṛj
mfj,1,6,para,mṛj
mfj,1,1,para,mṛj
mfq,,6,para,mṛḍ
mfq,,9,para,mṛḍ
mfR,,6,para,mṛṇ
mfd,1,9,para,mṛd
mfd,1,1,para,mṛd
mfD,1,1,para,mṛdh
mfD,1,6,para,mṛdh
mfS,1,6,para,mṛś
mfz,1,4,para,mṛṣ
mfz,1,1,para,mṛṣ
mfz,3,1,para,mṛṣ
mfzAya,,denom,atma,mṛṣāya
mF,,9,para,mṝ
me,1,1,atma,me
meGaya,,denom,para,meghaya
meGAya,,denom,para,meghāya
mew,,1,para,meṭ
meq,,1,para,meḍ
med,1,1,para,med
meD,,1,para,medh
mep,,1,para,mep
mev,,1,atma,mev
mezAya,,denom,atma,meṣāya
mEtrAya,,denom,para,maitrāya
mokz,,1,atma,mokṣ
mokz,,10,para,mokṣ
mokzAya,,denom,atma,mokṣāya
moGAya,,denom,atma,moghāya
mnA,,1,para,mnā
myakz,,1,para,myakṣ
mrakz,,1,para,mrakṣ
mrad,,1,atma,mrad
mrit,,4,para,mrit
mruc,,1,para,mruc
mruYc,,1,para,mruñc
mreq,,1,para,mreḍ
mlakz,,10,para,mlakṣ
mluc,,1,para,mluc
mluYc,,1,para,mluñc
mleC,,1,para,mlech
mleC,,10,para,mlech
mlew,,1,para,mleṭ
mleq,,1,para,mleḍ
mlev,,1,atma,mlev
mlE,,1,para,mlai
yakz,,1,para,yakṣ
yakz,,10,atma,yakṣ
yaj,1,1,para,yaj
yajYAya,,denom,para,yajñāya
yat,2,1,atma,yat
yat,2,10,atma,yat
yantr,,10,para,yantr
yantr,,1,para,yantr
yantraya,,denom,para,yantraya
yaB,,1,para,yabh
yam,,1,para,yam
yamAya,,denom,atma,yamāya
yavaya,,denom,para,yavaya
yas,,4,para,yas
yA,1,2,para,yā
yAc,,1,para,yāc
yAminaya,,denom,para,yāminaya
yu,1,3,para,yu
yu,2,2,para,yu
yugalAya,,denom,atma,yugalāya
yugAya,,denom,atma,yugāya
yuNg,,1,para,yuṅg
yuC,,1,para,yuch
yuj,1,7,para,yuj
yut,2,1,atma,yut
yuD,1,4,atma,yudh
yuD,1,1,para,yudh
yup,,4,para,yup
yuzmaya,,denom,para,yuṣmaya
yUz,,1,para,yūṣ
yez,,1,para,yeṣ
yoktraya,,denom,para,yoktraya
yogAya,,denom,atma,yogāya
yogIya,,denom,atma,yogīya
yOw,,1,para,yauṭ
raMh,,1,para,raṃh
raMh,,10,para,raṃh
rak,,10,para,rak
rakz,1,1,para,rakṣ
raK,,1,para,rakh
rag,,1,para,rag
rag,,10,para,rag
raNK,,1,para,raṅkh
raNg,,1,para,raṅg
raNG,,1,atma,raṅgh
rac,,10,para,rac
raj,,1,para,raj
raj,,4,para,raj
rajasaya,,denom,para,rajasaya
raYj,,1,para,rañj
raYj,,4,para,rañj
raw,,1,para,raṭ
rawarawAya,,denom,atma,raṭaraṭāya
raW,,1,para,raṭh
raR,1,1,para,raṇ
raR,1,4,para,raṇ
raR,2,1,para,raṇ
raR,3,10,para,raṇ
raRv,,1,para,raṇv
raTirAya,,denom,para,rathirāya
raTIya,,denom,para,rathīya
rad,,1,para,rad
raD,,4,para,radh
ran,1,1,para,ran
ran,1,4,para,ran
ranD,,4,para,randh
ranDanAya,,denom,para,randhanāya
rap,,1,para,rap
raP,,1,para,raph
raB,,1,atma,rabh
ram,,1,atma,ram
ramaRIya,2,denom,atma,ramaṇīya
ramP,,1,para,ramph
ramb,1,1,atma,ramb
ramb,2,1,atma,ramb
ramb,2,1,para,ramb
ramB,,1,atma,rambh
ramB,2,1,atma,rambh
ray,,1,atma,ray
rarP,,1,para,rarph
raSanAya,,denom,atma,raśanāya
ras,1,1,para,ras
ras,2,10,para,ras
rah,,1,para,rah
rah,,10,para,rah
rahAya,,denom,atma,rahāya
rA,1,2,para,rā
rAK,,1,para,rākh
rAG,1,1,atma,rāgh
rAj,1,1,para,rāj
rAjAya,,denom,atma,rājāya
rAjIya,,denom,para,rājīya
rAD,,5,para,rādh
rAD,,4,para,rādh
rAs,1,2,para,rās
rAs,1,1,atma,rās
ri,1,9,para,ri
ri,1,4,para,ri
riK,,1,para,rikh
riK,,6,para,rikh
riNK,,1,para,riṅkh
riNg,,1,para,riṅg
ric,,7,para,ric
ric,,1,para,ric
ric,,4,atma,ric
rij,,1,atma,rij
riRv,,1,para,riṇv
riP,,6,para,riph
riB,,1,para,ribh
rimP,,6,para,rimph
riS,,6,para,riś
riz,1,1,para,riṣ
riz,1,4,para,riṣ
rizwIya,,denom,para,riṣṭīya
rih,,6,para,rih
rih,,2,para,rih
rI,1,9,para,rī
rI,1,4,para,rī
rIv,,1,para,rīv
ru,1,2,para,ru
ru,3,1,atma,ru
ruMS,,1,para,ruṃś
ruMS,,10,para,ruṃś
ruc,1,1,atma,ruc
ruj,1,6,para,ruj
rujAya,,denom,atma,rujāya
ruw,,1,atma,ruṭ
ruw,,10,para,ruṭ
ruW,,1,para,ruṭh
ruW,,1,atma,ruṭh
ruRw,,1,para,ruṇṭ
ruRW,,1,para,ruṇṭh
rud,1,2,para,rud
ruD,1,1,para,rudh
ruD,2,7,para,rudh
rup,1,4,para,rup
ruS,,6,para,ruś
ruz,1,1,para,ruṣ
ruz,1,4,para,ruṣ
ruh,1,1,para,ruh
rUkz,,10,para,rūkṣ
rUp,,10,para,rūp
rUz,,1,para,rūṣ
rUz,,10,para,rūṣ
rek,,1,atma,rek
reKAya,,denom,atma,rekhāya
rej,1,1,para,rej
rew,,1,para,reṭ
req,,1,atma,reḍ
rep,,1,atma,rep
reB,,1,para,rebh
reBAya,,denom,para,rebhāya
reL,,1,atma,reL
rez,1,1,atma,reṣ
rehAya,,denom,para,rehāya
rE,1,1,para,rai
roq,,1,para,roḍ
romanTAya,,denom,para,romanthāya
rohAya,,denom,atma,rohāya
rOw,,1,para,rauṭ
rOq,,1,para,rauḍ
lak,,10,para,lak
lakz,,1,atma,lakṣ
lakz,,10,para,lakṣ
laK,,1,para,lakh
lag,,1,para,lag
laGaya,,denom,para,laghaya
laNg,,1,para,laṅg
laNG,,1,para,laṅgh
laNG,,10,para,laṅgh
laC,,1,para,lach
laj,1,6,atma,laj
laj,2,1,para,laj
laj,3,10,para,laj
lajj,,6,atma,lajj
lajjAya,,denom,atma,lajjāya
laYj,1,1,para,lañj
laYj,2,10,para,lañj
law,1,1,para,laṭ
laq,,1,para,laḍ
laq,,10,para,laḍ
laRq,,10,para,laṇḍ
latAya,,denom,atma,latāya
lap,1,1,para,lap
laB,,1,atma,labh
lamb,1,1,atma,lamb
lamb,2,1,atma,lamb
lamB,,1,atma,lambh
lay,,1,atma,lay
lard,,10,para,lard
larb,,1,para,larb
lal,,1,para,lal
lalAwikAya,,denom,atma,lalāṭikāya
lavaRaya,,denom,para,lavaṇaya
lavaRIya,,denom,para,lavaṇīya
lavaya,,denom,para,lavaya
laS,,10,para,laś
laz,,1,para,laṣ
laz,,4,para,laṣ
laz,,10,para,laṣ
las,1,1,para,las
lA,1,2,para,lā
lAK,,1,para,lākh
lAG,,1,atma,lāgh
lAj,,1,para,lāj
lAjAya,,denom,atma,lājāya
lAYC,,1,para,lāñch
lAYCanAya,,denom,atma,lāñchanāya
lAYj,,1,para,lāñj
lAwyAya,,denom,para,lāṭyāya
lAq,,10,para,lāḍ
lAB,,10,para,lābh
lAlAya,,denom,atma,lālāya
liK,,6,para,likh
liNK,,1,para,liṅkh
liNg,,1,para,liṅg
liNg,,10,para,liṅg
lip,,6,para,lip
lip,,1,para,lip
liS,1,4,atma,liś
liS,1,6,para,liś
lih,1,2,para,lih
lI,1,9,para,lī
lI,1,1,para,lī
lI,1,4,atma,lī
lInaya,,denom,para,līnaya
lIlAya,,denom,atma,līlāya
luYc,,1,para,luñc
luw,1,1,atma,luṭ
luw,1,10,para,luṭ
luw,2,1,para,luṭ
luw,2,4,para,luṭ
luw,2,1,atma,luṭ
luw,2,10,para,luṭ
luW,1,1,para,luṭh
luW,1,1,atma,luṭh
luW,1,10,para,luṭh
luW,2,6,para,luṭh
luq,,1,para,luḍ
luq,,6,para,luḍ
luRw,,1,para,luṇṭ
luRw,,10,para,luṇṭ
lunT,,1,para,lunth
lup,1,6,para,lup
lup,1,4,para,lup
luB,,6,para,lubh
luB,,4,para,lubh
lumb,,1,para,lumb
lumb,,10,para,lumb
lul,,1,para,lul
luz,,1,para,luṣ
luh,,1,para,luh
lU,1,9,para,lū
lUz,,1,para,lūṣ
lUz,,10,para,lūṣ
leKAya,,denom,para,lekhāya
lep,,1,atma,lep
lelAya,,denom,atma,lelāya
lER,,1,para,laiṇ
lok,,1,atma,lok
loc,,1,atma,loc
loc,,10,para,loc
low,1,1,para,loṭ
loq,1,1,para,loḍ
lorAya,,denom,para,lorāya
lozw,,1,atma,loṣṭ
lozwAya,,denom,atma,loṣṭāya
lohitAya,,denom,atma,lohitāya
lOq,,1,para,lauḍ
lpI,,9,para,lpī
lyI,,9,para,lyī
lvI,,9,para,lvī
vak,2,1,atma,vak
vakk,,1,atma,vakk
vakz,,1,para,vakṣ
vaK,,1,para,vakh
vaNk,2,1,atma,vaṅk
vaNK,,1,para,vaṅkh
vaNg,,1,para,vaṅg
vaNG,,1,atma,vaṅgh
vac,,2,para,vac
vac,,3,para,vac
vaj,,1,para,vaj
vaj,,10,para,vaj
vajrAya,,denom,atma,vajrāya
vaYc,,1,para,vañc
vaw,,1,para,vaṭ
vaw,,10,para,vaṭ
vaww,,1,para,vaṭṭ
vaW,,1,para,vaṭh
vaqQ,,1,para,vaḍḍh
vaR,,1,para,vaṇ
vaRw,,1,para,vaṇṭ
vaRw,,10,para,vaṇṭ
vaRW,,1,atma,vaṇṭh
vaRq,,1,atma,vaṇḍ
vaRq,,10,para,vaṇḍ
vatsalaya,,denom,para,vatsalaya
vatsAya,,denom,para,vatsāya
vad,,1,para,vad
van,1,1,para,van
van,1,8,para,van
vanitAya,,denom,atma,vanitāya
vanIya,,denom,para,vanīya
vand,,1,atma,vand
vanDyAya,,denom,atma,vandhyāya
vap,1,1,para,vap
vap,2,1,para,vap
vaBr,,1,para,vabhr
vam,,1,para,vam
vay,,1,atma,vay
vay,,1,para,vay
vargaya,,denom,para,vargaya
varc,,1,atma,varc
varcAya,,denom,atma,varcāya
varR,,10,para,varṇ
varD,,10,para,vardh
varP,,1,para,varph
varmaya,,denom,para,varmaya
varmAya,,denom,atma,varmāya
varh,,1,atma,varh
varh,,10,para,varh
val,,1,atma,val
valk,,10,para,valk
valg,,1,para,valg
valB,,1,atma,valbh
vall,,1,para,vall
valh,,1,atma,valh
valh,,10,para,valh
vavraya,,denom,atma,vavraya
vaS,,2,para,vaś
vaz,,1,para,vaṣ
vazk,,1,atma,vaṣk
vas,2,6,para,vas
vas,3,10,para,vas
vas,4,2,atma,vas
vas,5,1,para,vas
vas,5,10,para,vas
vas,8,4,para,vas
vask,,1,atma,vask
vast,,10,atma,vast
vastraya,,denom,para,vastraya
vastrAya,,denom,atma,vastrāya
vasnaya,,denom,para,vasnaya
vah,1,1,para,vah
vahnIya,,denom,atma,vahnīya
vA,2,2,para,vā
vANkz,,1,para,vāṅkṣ
vAcAlaya,,denom,para,vācālaya
vAcyAya,,denom,atma,vācyāya
vAjaya,,denom,para,vājaya
vAYC,,1,para,vāñch
vAt,2,10,para,vāt
vAtaya,,denom,para,vātaya
vAtyAya,,denom,atma,vātyāya
vApyAya,,denom,para,vāpyāya
vArIya,,denom,atma,vārīya
vArttaya,,denom,para,vārttaya
vAvft,,4,atma,vāvṛt
vAS,,4,atma,vāś
vAs,2,10,para,vās
vAh,1,1,atma,vāh
vic,,7,para,vic
viC,,10,para,vich
vij,1,6,atma,vij
vij,1,1,para,vij
vij,1,3,para,vij
viw,,1,para,viṭ
viw,,1,para,viṭ
viq,1,1,para,viḍ
viRw,,10,para,viṇṭ
vitaTaya,,denom,para,vitathaya
vitt,,10,para,vitt
viT,,1,atma,vith
vid,1,2,para,vid
vid,3,6,para,vid
vid,5,7,atma,vid
vidyutaya,,denom,atma,vidyutaya
viD,1,6,para,vidh
viD,2,6,atma,vidh
viD,5,1,atma,vidh
viDuraya,,denom,para,vidhuraya
vinDyAya,,denom,atma,vindhyāya
vip,1,1,atma,vip
vipakzaya,,denom,para,vipakṣaya
vipinAya,,denom,atma,vipināya
vipulaya,,denom,para,vipulaya
viPalaya,,denom,para,viphalaya
vimuKaya,,denom,para,vimukhaya
viralAya,,denom,para,viralāya
vil,,6,para,vil
vil,,10,para,vil
vil,,6,para,vil
vil,,10,para,vil
viS,,1,para,viś
viS,1,6,para,viś
viSAlaya,,denom,para,viśālaya
viz,1,3,para,viṣ
viz,1,1,para,viṣ
viz,4,9,para,viṣ
vizamAya,,denom,atma,viṣamāya
vizAya,,denom,para,viṣāya
vizk,,10,para,viṣk
vis,,4,para,vis
vI,1,2,para,vī
vIj,,1,para,vīj
vIr,2,10,atma,vīr
vIrAya,,denom,atma,vīrāya
vuRw,,10,para,vuṇṭ
vf,1,5,para,vṛ
vf,1,9,para,vṛ
vf,1,1,para,vṛ
vf,1,5,atma,vṛ
vf,1,9,atma,vṛ
vf,1,1,atma,vṛ
vf,2,5,para,vṛ
vf,2,9,para,vṛ
vfk,,1,atma,vṛk
vfkAya,,denom,atma,vṛkāya
vfkz,,1,atma,vṛkṣ
vfj,1,1,para,vṛj
vfj,1,7,para,vṛj
vfj,1,2,atma,vṛj
vfjinAya,,denom,para,vṛjināya
vfR,,8,para,vṛṇ
vfR,,6,para,vṛṇ
vft,1,1,atma,vṛt
vfD,,1,atma,vṛdh
vfndArakAya,,denom,para,vṛndārakāya
vfS,,4,para,vṛś
vfz,,1,para,vṛṣ
vfzAya,,denom,atma,vṛṣāya
vfzIya,,denom,para,vṛṣīya
vfh,1,6,para,vṛh
ve,1,1,para,ve
vekz,,10,para,vekṣ
vewy,,1,para,veṭy
veT,,1,atma,veth
vedApaya,,denom,para,vedāpaya
veD,,1,atma,vedh
ven,,1,para,ven
vel,1,1,para,vel
vel,2,10,para,vel
vell,,1,para,vell
vevI,,2,atma,vevī
vezw,,1,atma,veṣṭ
ves,,1,para,ves
veh,,1,atma,veh
veh,,1,para,veh
vehAya,,denom,atma,vehāya
vehl,,1,para,vehl
vE,1,1,para,vai
vEtaMsikAya,,denom,atma,vaitaṃsikāya
vEdyAya,,denom,atma,vaidyāya
vErAya,,denom,atma,vairāya
vyagraya,,denom,para,vyagraya
vyac,,6,para,vyac
vyaT,,1,atma,vyath
vyaD,,4,para,vyadh
vyap,,10,para,vyap
vyay,,1,para,vyay
vyay,,10,para,vyay
vyay,2,10,para,vyay
vyarTaya,,denom,para,vyarthaya
vyAkulaya,,denom,para,vyākulaya
vyAjaya,,denom,para,vyājaya
vyADAya,,denom,atma,vyādhāya
vyAlIya,,denom,para,vyālīya
vyuz,1,4,para,vyuṣ
vyuz,1,10,para,vyuṣ
vye,,1,para,vye
vraj,,1,para,vraj
vraj,,10,para,vraj
vraR,1,1,para,vraṇ
vraR,2,1,para,vraṇ
vraR,2,10,para,vraṇ
vrataya,,denom,para,vrataya
vraSc,,6,para,vraśc
vrI,,9,para,vrī
vrI,,4,atma,vrī
vrIq,,1,atma,vrīḍ
vrIq,,4,para,vrīḍ
vrIq,,10,para,vrīḍ
vruq,,6,para,vruḍ
vrUs,,1,para,vrūs
vrUs,,10,para,vrūs
vlI,,9,para,vlī
SaMs,,1,para,śaṃs
Sak,,5,para,śak
SakawAya,,denom,para,śakaṭāya
Sakalaya,,denom,para,śakalaya
SakaSakAya,,denom,para,śakaśakāya
SaNk,,1,atma,śaṅk
Sac,,1,atma,śac
SaYc,,1,atma,śañc
Saw,,1,para,śaṭ
Saw,,10,atma,śaṭ
SaW,1,10,atma,śaṭh
SaW,2,10,para,śaṭh
SaW,3,10,para,śaṭh
SaW,4,1,para,śaṭh
SaW,4,10,para,śaṭh
SaR,,1,para,śaṇ
SaR,,10,para,śaṇ
SaRq,,1,atma,śaṇḍ
Sad,2,1,atma,śad
Sad,2,6,atma,śad
Sap,3,1,para,śap
Sap,3,4,para,śap
SapaTIya,,denom,para,śapathīya
Sabd,,10,para,śabd
SabdAya,,denom,atma,śabdāya
Sam,1,4,para,śam
SamAya,,denom,para,śamāya
Samb,,1,para,śamb
Samb,,10,para,śamb
Saravyaya,,denom,para,śaravyaya
SaravyAya,,denom,atma,śaravyāya
SarAya,,denom,atma,śarāya
Sarb,,1,para,śarb
Sarmaya,,denom,para,śarmaya
Sarv,,1,para,śarv
Sal,1,1,atma,śal
Sal,1,1,para,śal
Sal,1,10,atma,śal
SalaBAya,,denom,para,śalabhāya
SalB,,1,atma,śalbh
Salyaya,,denom,para,śalyaya
SalyAya,,denom,atma,śalyāya
Sav,,1,para,śav
SaS,,1,para,śaś
SaSvAya,,denom,para,śaśvāya
Saz,,1,para,śaṣ
Sas,1,1,para,śas
SAK,,1,para,śākh
SAq,,1,atma,śāḍ
SAntaya,,denom,para,śāntaya
SAl,,1,atma,śāl
SAl,,10,atma,śāl
SAs,1,2,para,śās
Si,1,3,para,śi
Si,1,5,para,śi
Sikz,,1,para,śikṣ
SiNK,,1,para,śiṅkh
SiNG,,1,para,śiṅgh
SiYj,,2,atma,śiñj
SiYj,,1,atma,śiñj
SiYj,,10,atma,śiñj
Siw,,1,para,śiṭ
SiTilaya,,denom,atma,śithilaya
SiTilAya,,denom,atma,śithilāya
Sim,,4,para,śim
SirisirAya,,denom,atma,śirisirāya
Sil,,6,para,śil
SivIya,,denom,para,śivīya
SiSiraya,,denom,para,śiśiraya
SiSirAya,,denom,atma,śiśirāya
Siz,1,1,para,śiṣ
Siz,2,7,para,śiṣ
SI,1,2,atma,śī
SI,3,4,atma,śī
SIk,,1,atma,śīk
SIkAya,,denom,atma,śīkāya
SIGrAya,,denom,atma,śīghrāya
SItaya,,denom,para,śītaya
SItalaya,,denom,para,śītalaya
SItalAya,,denom,atma,śītalāya
SIB,,1,atma,śībh
SIl,1,1,para,śīl
SIl,1,10,para,śīl
Su,1,1,para,śu
Suk,,1,para,śuk
Suc,1,1,para,śuc
Suc,1,4,para,śuc
Suc,3,4,para,śuc
SucIya,,denom,atma,śucīya
Sucy,2,1,para,śucy
SuW,,1,para,śuṭh
SuW,,10,para,śuṭh
SuRW,,1,para,śuṇṭh
SuRW,,10,para,śuṇṭh
SuRq,,1,para,śuṇḍ
SuD,,1,para,śudh
SuD,,4,para,śudh
Sun,,6,para,śun
SunD,,1,para,śundh
SunD,,4,para,śundh
SuB,1,1,atma,śubh
SuB,1,6,para,śubh
SuBAya,,denom,para,śubhāya
SumB,2,1,para,śumbh
Sulk,,10,para,śulk
Sulb,,10,para,śulb
Sulv,,10,para,śulv
Suz,1,4,para,śuṣ
Suz,3,6,para,śuṣ
SUr,,4,atma,śūr
SUr,,10,atma,śūr
SUrp,,10,para,śūrp
SUl,,1,para,śūl
SUl,,4,para,śūl
SUz,,1,para,śūṣ
SfNKalaya,,denom,para,śṛṅkhalaya
SfNgAya,,denom,atma,śṛṅgāya
SfNgArIya,,denom,para,śṛṅgārīya
SfD,,1,para,śṛdh
SF,,9,para,śṝ
SeKaraya,,denom,para,śekharaya
SeKarAya,,denom,atma,śekharāya
Sel,,1,para,śel
SelAya,,denom,para,śelāya
Sev,,1,atma,śev
SEvAlIya,,denom,para,śaivālīya
So,,3,para,śo
So,,4,para,śo
SoR,,1,para,śoṇ
SoRAya,,denom,atma,śoṇāya
SoBAya,,denom,atma,śobhāya
SOw,,1,para,śauṭ
Scut,1,1,para,ścut
SnaT,,1,para,śnath
SmIl,,1,para,śmīl
SyAmAya,,denom,atma,śyāmāya
SyAvaya,,denom,para,śyāvaya
SyE,,1,para,śyai
SraNk,,1,atma,śraṅk
SraNk,,1,atma,śraṅk
SraNg,,1,para,śraṅg
SraNg,,1,para,śraṅg
SraR,,1,para,śraṇ
SraR,,10,para,śraṇ
SraT,,9,para,śrath
SranT,,9,para,śranth
Sram,1,4,para,śram
SramaRAya,,denom,atma,śramaṇāya
SramB,,1,atma,śrambh
SrA,,1,para,śrā
SrA,,4,para,śrā
SrA,,2,para,śrā
SrApaya,,denom,para,śrāpaya
Sri,1,1,para,śri
Sriz,1,1,para,śriṣ
SrI,1,9,para,śrī
Sru,1,5,para,śru
SrE,,1,para,śrai
SrE,,4,para,śrai
SrE,,2,para,śrai
SroR,,1,para,śroṇ
SroR,,1,para,śroṇ
SlakzRaya,,denom,para,ślakṣṇaya
SlaNk,,1,atma,ślaṅk
SlaNg,,1,para,ślaṅg
SlaT,,1,para,ślath
SlaTAya,,denom,atma,ślathāya
SlAK,,1,para,ślākh
SlAG,,1,atma,ślāgh
Sliz,1,1,para,śliṣ
Sliz,2,4,para,śliṣ
Slok,,1,atma,ślok
Slokaya,,denom,para,ślokaya
SloR,,1,para,śloṇ
SvaNk,,1,atma,śvaṅk
SvaNg,,1,para,śvaṅg
Svac,,1,atma,śvac
Svaj,,1,atma,śvaj
SvaYc,,1,atma,śvañc
SvaYj,,1,atma,śvañj
SvaW,1,10,para,śvaṭh
SvaW,2,10,para,śvaṭh
SvaRW,2,10,para,śvaṇṭh
SvaBr,,10,para,śvabhr
SvaBrIya,,denom,para,śvabhrīya
Sval,,1,para,śval
Svalk,,10,para,śvalk
Svall,,1,para,śvall
Svas,1,2,para,śvas
SvAtr,,1,para,śvātr
Svi,,1,para,śvi
Svit,1,1,atma,śvit
Svind,,1,atma,śvind
Svetaya,,denom,para,śvetaya
SvetAya,,denom,atma,śvetāya
zaww,,10,para,ṣaṭṭ
zaRQaya,,denom,para,ṣaṇḍhaya
zaRQIya,,denom,para,ṣaṇḍhīya
zazk,,1,para,ṣaṣk
zukk,,1,atma,ṣukk
zoqIya,,denom,para,ṣoḍīya
zWiv,,1,para,ṣṭhiv
zWiv,,4,para,ṣṭhiv
zWIv,,1,para,ṣṭhīv
zWIv,,4,para,ṣṭhīv
zvakk,,1,atma,ṣvakk
zvazk,,1,para,ṣvaṣk
zvazk,,1,atma,ṣvaṣk
saMkawAya,,denom,atma,saṃkaṭāya
saMketaya,,denom,para,saṃketaya
saMguRaya,,denom,para,saṃguṇaya
saMDyAya,,denom,atma,saṃdhyāya
sakalaya,,denom,para,sakalaya
sakz,,1,para,sakṣ
saKIya,,denom,para,sakhīya
sag,,1,para,sag
saG,,5,para,sagh
sac,1,1,atma,sac
saj,2,1,para,saj
sajj,1,1,para,sajj
sajj,1,1,para,sajj
sajjaya,,denom,atma,sajjaya
sajjIya,,denom,atma,sajjīya
saYj,1,1,para,sañj
saYj,2,1,para,sañj
saw,,1,para,saṭ
saww,,10,para,saṭṭ
saW,1,10,para,saṭh
sattraya,,denom,atma,sattraya
sattrApaya,,denom,atma,sattrāpaya
sattrAya,,denom,atma,sattrāya
satyApaya,,denom,para,satyāpaya
satr,,10,atma,satr
sad,2,1,para,sad
sad,2,6,para,sad
san,1,1,para,san
san,1,8,para,san
sanAya,,denom,para,sanāya
sap,1,1,para,sap
sapiRqaya,,denom,para,sapiṇḍaya
saPalaya,,denom,para,saphalaya
saBAj,,10,para,sabhāj
sam,1,1,para,sam
sam,1,10,para,sam
samagraya,,denom,para,samagraya
samaya,1,denom,para,samaya
samAnaya,,denom,para,samānaya
samIya,1,denom,atma,samīya
samudrAya,,denom,atma,samudrāya
say,,1,atma,say
saraya,,denom,atma,saraya
saralaya,,denom,para,saralaya
saralAya,,denom,atma,saralāya
sarasarAya,,denom,atma,sarasarāya
sarj,1,1,para,sarj
sarj,2,1,para,sarj
sarpAya,,denom,atma,sarpāya
sarb,,1,para,sarb
sarzapAya,,denom,atma,sarṣapāya
sal,,1,para,sal
sas,,2,para,sas
sah,1,1,atma,sah
sah,3,4,para,sah
sAkz,,1,para,sākṣ
sAgarAya,,denom,atma,sāgarāya
sAw,,10,para,sāṭ
sAD,1,1,para,sādh
sADaya,,denom,para,sādhaya
sAntv,,10,para,sāntv
sAmaya,1,10,para,sāmaya
sAyakAya,,denom,atma,sāyakāya
sAraya,,denom,para,sāraya
si,1,5,para,si
si,1,9,para,si
siMhAya,,denom,atma,siṃhāya
sic,1,6,para,sic
siw,,1,para,siṭ
siD,1,1,para,sidh
siD,2,1,para,sidh
siD,3,4,para,sidh
siprAya,,denom,atma,siprāya
simasimAya,,denom,atma,simasimāya
simisimAya,,denom,atma,simisimāya
sil,,6,para,sil
siv,,4,para,siv
sImantaya,,denom,para,sīmantaya
su,1,1,para,su
su,2,1,para,su
su,2,2,para,su
su,3,5,para,su
suK,,10,para,sukh
suK,,4,para,sukh
suKAya,,denom,atma,sukhāya
suww,,10,para,suṭṭ
sutIya,,denom,para,sutīya
suDaya,,denom,para,sudhaya
suB,,9,para,subh
suB,,6,para,subh
suB,,1,para,subh
sumnaya,,denom,para,sumnaya
sumnAya,,denom,para,sumnāya
sur,,6,para,sur
sur,,10,para,sur
suraBaya,,denom,para,surabhaya
suzvaya,,denom,atma,suṣvaya
suh,,4,para,suh
sU,1,6,para,sū
sU,2,2,atma,sū
sUc,,10,para,sūc
sUtr,,10,para,sūtr
sUd,1,1,atma,sūd
sUr,,4,atma,sūr
sUr,,10,atma,sūr
sUrkz,,1,para,sūrkṣ
sUrkzy,,1,para,sūrkṣy
sUz,,1,para,sūṣ
sf,,1,para,sṛ
sf,,3,para,sṛ
sf,,10,para,sṛ
sfj,1,6,para,sṛj
sfp,,1,para,sṛp
sfB,,1,para,sṛbh
