prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
aBipyE,pyE,,abhipyai,pyai
aBiprakram,kram,,abhiprakram,kram
aBipracyu,cyu,,abhipracyu,cyu
aBiprajan,jan,,abhiprajan,jan
aBipraRakz,nakz,,abhipraṇakṣ,nakṣ
aBipraRad,nad,,abhipraṇad,nad
aBipraRam,nam,,abhipraṇam,nam
aBipraRI,nI,,abhipraṇī,nī
aBipraRu,nu,,abhipraṇu,nu
aBipratipad,pad,,abhipratipad,pad
aBipratyave,i,,abhipratyave,i
aBipratye,i,,abhipratye,i
aBipraT,praT,,abhiprath,prath
aBipradru,dru,2,abhipradru,dru
aBiprabuD,buD,,abhiprabudh,budh
aBipraman,man,,abhipraman,man
aBipramand,mand,1,abhipramand,mand
aBipravft,vft,,abhipravṛt,vṛt
aBiprasf,sf,,abhiprasṛ,sṛ
aBiprAR,an,,abhiprāṇ,an
aBiprAp,Ap,,abhiprāp,āp
aBiprArc,arc,,abhiprārc,arc
aBiprArT,arT,,abhiprārth,arth
aBiprAS,aS,,abhiprāś,aś
aBiprAs,as,,abhiprās,as
aBipre,i,,abhipre,i
aBiprekz,Ikz,,abhiprekṣ,īkṣ
aBiprer,Ir,,abhiprer,īr
aBiprez,iz,,abhipreṣ,iṣ
aBiBuj,Buj,3,abhibhuj,bhuj
aBimantr,mantr,,abhimantr,mantr
aBimand,mand,1,abhimand,mand
aBimuc,muc,,abhimuc,muc
aBimf,mf,,abhimṛ,mṛ
aBimfkz,mfkz,,abhimṛkṣ,mṛkṣ
aBimfS,mfS,,abhimṛś,mṛś
aBiyaj,yaj,,abhiyaj,yaj
aBiyuj,yuj,,abhiyuj,yuj
aBirakz,rakz,,abhirakṣ,rakṣ
aBiraYj,raYj,,abhirañj,rañj
aBiraB,raB,,abhirabh,rabh
aBiruc,ruc,,abhiruc,ruc
aBilaB,laB,,abhilabh,labh
aBivad,vad,,abhivad,vad
aBivand,vand,,abhivand,vand
aBivaS,vaS,,abhivaś,vaś
aBivicar,car,,abhivicar,car
aBivij,vij,,abhivij,vij
aBivitan,tan,,abhivitan,tan
aBivid,vid,3,abhivid,vid
aBiviBaj,Baj,,abhivibhaj,bhaj
aBiviruc,ruc,,abhiviruc,ruc
aBivivas,vas,2,abhivivas,vas
aBivizaYj,saYj,,abhiviṣañj,sañj
aBivizWA,sTA,,abhiviṣṭhā,sthā
aBivizyand,syand,,abhiviṣyand,syand
aBivisfj,sfj,,abhivisṛj,sṛj
aBivI,i,,abhivī,i
aBivIkz,Ikz,,abhivīkṣ,īkṣ
aBivft,vft,,abhivṛt,vṛt
aBivfD,vfD,,abhivṛdh,vṛdh
aBivfz,vfz,,abhivṛṣ,vṛṣ
aBivyaD,vyaD,,abhivyadh,vyadh
aBivye,vye,,abhivye,vye
aBiSaNk,SaNk,,abhiśaṅk,śaṅk
aBiSap,Sap,,abhiśap,śap
aBiSI,SI,3,abhiśī,śī
aBiSuB,SuB,,abhiśubh,śubh
aBiScut,Scut,,abhiścut,ścut
aBizac,sac,,abhiṣac,sac
aBizaYj,saYj,,abhiṣañj,sañj
aBizad,sad,,abhiṣad,sad
aBizah,sah,,abhiṣah,sah
aBizic,sic,,abhiṣic,sic
aBiziv,siv,,abhiṣiv,siv
aBizu,su,,abhiṣu,su
aBizU,sU,,abhiṣū,sū
aBizUd,sUd,,abhiṣūd,sūd
aBizo,so,,abhiṣo,so
aBizwan,stan,,abhiṣṭan,stan
aBizwamB,stamB,,abhiṣṭambh,stambh
aBizwu,stu,,abhiṣṭu,stu
aBizwuB,stuB,,abhiṣṭubh,stubh
aBizWA,sTA,,abhiṣṭhā,sthā
aBizyand,syand,,abhiṣyand,syand
aBizvaYj,svaYj,,abhiṣvañj,svañj
aBisaMgam,gam,,abhisaṃgam,gam
aBisaMci,ci,1,abhisaṃci,ci
aBisaMnah,nah,,abhisaṃnah,nah
aBisaMnu,nu,4,abhisaṃnu,nu
aBisaMraB,raB,,abhisaṃrabh,rabh
aBisaMvas,vas,4,abhisaṃvas,vas
aBisaMvas,vas,5,abhisaṃvas,vas
aBisaMvid,vid,3,abhisaṃvid,vid
aBisaMviS,viS,,abhisaṃviś,viś
aBisaMvIkz,Ikz,,abhisaṃvīkṣ,īkṣ
aBisaMvft,vft,,abhisaṃvṛt,vṛt
aBisaMSri,Sri,,abhisaṃśri,śri
aBisaMskf,kf,1,abhisaṃskṛ,kṛ
aBisaMsvaYj,svaYj,,abhisaṃsvañj,svañj
aBisatkf,kf,,abhisatkṛ,kṛ
aBisap,sap,,abhisap,sap
aBisamApad,pad,,abhisamāpad,pad
aBisamf,f,,abhisamṛ,ṛ
aBisame,i,,abhisame,i
aBisamprekz,Ikz,,abhisamprekṣ,īkṣ
aBihan,han,,abhihan,han
aBihary,hary,,abhihary,hary
aBihiNkf,kf,,abhihiṅkṛ,kṛ
aBI,i,,abhī,i
aBIkz,Ikz,,abhīkṣ,īkṣ
aByaj,aj,,abhyaj,aj
aByaYj,aYj,,abhyañj,añj
aByativad,vad,,abhyativad,vad
aByatI,i,,abhyatī,i
aByanuvad,vad,,abhyanuvad,vad
aByapaSri,Sri,,abhyapaśri,śri
aByapAn,an,,abhyapān,an
aByam,am,,abhyam,am
aByarc,arc,,abhyarc,arc
