prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
niras,as,2,niras,as
nirAkf,kf,1,nirākṛ,kṛ
nirAkram,kram,,nirākram,kram
nirAcakz,cakz,,nirācakṣ,cakṣ
nirAyam,yam,,nirāyam,yam
nirAvah,vah,,nirāvah,vah
nirAviS,viS,,nirāviś,viś
niri,i,,niri,i
nirI,rI,,nirī,rī
nirIkz,Ikz,,nirīkṣ,īkṣ
nirukz,ukz,,nirukṣ,ukṣ
niruD,ruD,,nirudh,rudh
nirubj,ubj,,nirubj,ubj
nirUp,rUp,,nirūp,rūp
nirUh,Uh,1,nirūh,ūh
nirfC,fC,,nirṛch,ṛch
nirfj,fj,,nirṛj,ṛj
nire,i,,nire,i
nirgam,gam,,nirgam,gam
nirGfz,Gfz,,nirghṛṣ,ghṛṣ
nirji,ji,,nirji,ji
nirRam,nam,,nirṇam,nam
nirRij,nij,,nirṇij,nij
nirRI,nI,,nirṇī,nī
nirRud,nud,,nirṇud,nud
nirdaMS,daMS,,nirdaṃś,daṃś
nirdah,dah,,nirdah,dah
nirdiS,diS,,nirdiś,diś
nirduh,duh,,nirduh,duh
nirdru,dru,,nirdru,dru
nirDam,Dam,,nirdham,dham
nirDA,DA,,nirdhā,dhā
nirDAv,DAv,1,nirdhāv,dhāv
nirDU,DU,,nirdhū,dhū
nirbanD,banD,,nirbandh,bandh
nirbAD,bAD,,nirbādh,bādh
nirbrU,brU,,nirbrū,brū
nirBaj,Baj,,nirbhaj,bhaj
nirBaYj,BaYj,,nirbhañj,bhañj
nirBarts,Barts,,nirbharts,bharts
nirBA,BA,,nirbhā,bhā
nirBid,Bid,,nirbhid,bhid
nirBuj,Buj,1,nirbhuj,bhuj
nirmajj,majj,,nirmajj,majj
nirmaT,maT,,nirmath,math
nirmanT,manT,,nirmanth,manth
nirmA,mA,,nirmā,mā
nirmi,mi,,nirmi,mi
nirmuc,muc,,nirmuc,muc
nirmfj,mfj,,nirmṛj,mṛj
niryA,yA,,niryā,yā
niryAc,yAc,,niryāc,yāc
niryu,yu,3,niryu,yu
nirliK,liK,,nirlikh,likh
nirlih,lih,,nirlih,lih
nirlup,lup,,nirlup,lup
nirvaYc,vaYc,,nirvañc,vañc
nirvad,vad,,nirvad,vad
nirvap,vap,,nirvap,vap
nirvam,vam,,nirvam,vam
nirvarR,varR,,nirvarṇ,varṇ
nirvas,vas,5,nirvas,vas
nirvah,vah,,nirvah,vah
nirvA,vA,,nirvā,vā
nirvid,vid,3,nirvid,vid
nirvivah,vah,,nirvivah,vah
nirviS,viS,,nirviś,viś
nirvf,vf,2,nirvṛ,vṛ
nirvft,vft,,nirvṛt,vṛt
nirvE,vE,,nirvai,vai
nirvyaD,vyaD,,nirvyadh,vyadh
nirvraj,vraj,,nirvraj,vraj
nirvlI,vlI,,nirvlī,vlī
nirhan,han,,nirhan,han
nirhA,hA,2,nirhā,hā
nirhf,hf,,nirhṛ,hṛ
nirhras,hras,,nirhras,hras
nirhve,hve,,nirhve,hve
nilip,lip,,nilip,lip
nilI,lI,,nilī,lī
nivad,vad,,nivad,vad
nivap,vap,2,nivap,vap
nivas,vas,4,nivas,vas
nivas,vas,5,nivas,vas
nivah,vah,,nivah,vah
niviS,viS,,niviś,viś
nivfj,vfj,,nivṛj,vṛj
nivft,vft,,nivṛt,vṛt
nivyaD,vyaD,,nivyadh,vyadh
nivraSc,vraSc,,nivraśc,vraśc
niSam,Sam,,niśam,śam
niSAs,SAs,,niśās,śās
niSi,Si,,niśi,śi
niSuc,Suc,,niśuc,śuc
niSuB,SuB,,niśubh,śubh
niSumB,SumB,,niśumbh,śumbh
niSo,So,,niśo,śo
niScar,car,,niścar,car
niSci,ci,2,niści,ci
niScut,Scut,,niścut,ścut
niSri,Sri,,niśri,śri
niSvas,Svas,,niśvas,śvas
nizac,sac,,niṣac,sac
nizaYj,saYj,,niṣañj,sañj
nizad,sad,,niṣad,sad
nizah,sah,,niṣah,sah
nizic,sic,,niṣic,sic
niziD,siD,,niṣidh,sidh
niziv,siv,,niṣiv,siv
nizUd,sUd,,niṣūd,sūd
nizev,sev,,niṣev,sev
nizo,so,,niṣo,so
nizkuz,kuz,,niṣkuṣ,kuṣ
nizkf,kf,1,niṣkṛ,kṛ
nizkft,kft,,niṣkṛt,kṛt
nizkfz,kfz,,niṣkṛṣ,kṛṣ
nizkram,kram,,niṣkram,kram
nizkrI,krI,,niṣkrī,krī
nizKan,Kan,,niṣkhan,khan
nizKid,Kid,,niṣkhid,khid
nizwap,tap,,niṣṭap,tap
nizwu,stu,,niṣṭu,stu
nizwyE,styE,,niṣṭyai,styai
nizWA,sTA,,niṣṭhā,sthā
nizWiv,zWiv,,niṣṭhiv,ṣṭhiv
nizRA,snA,,niṣṇā,snā
nizpat,pat,,niṣpat,pat
nizpad,pad,,niṣpad,pad
nizpalAy,ay,,niṣpalāy,ay
nizpA,pA,1,niṣpā,pā
nizpA,pA,3,niṣpā,pā
nizpiS,piS,,niṣpiś,piś
nizpiz,piz,,niṣpiṣ,piṣ
nizpIq,pIq,,niṣpīḍ,pīḍ
nizpU,pU,,niṣpū,pū
nizpf,pf,,niṣpṛ,pṛ
nizvaYj,svaYj,,niṣvañj,svañj
nistakz,takz,,nistakṣ,takṣ
nistud,tud,,nistud,tud
nistF,tF,,nistṝ,tṝ
nispfS,spfS,,nispṛś,spṛś
nisyand,syand,,nisyand,syand
nisru,sru,,nisru,sru
nisvan,svan,,nisvan,svan
nihan,han,,nihan,han
nihA,hA,2,nihā,hā
nihf,hf,,nihṛ,hṛ
nihfz,hfz,,nihṛṣ,hṛṣ
nihnu,hnu,,nihnu,hnu
nihve,hve,,nihve,hve
nIrAj,rAj,,nīrāj,rāj
nIrI,rI,,nīrī,rī
nIruc,ruc,,nīruc,ruc
nyaYc,aYc,,nyañc,añc
nyaYj,aYj,,nyañj,añj
nyavacar,car,,nyavacar,car
nyavasfj,sfj,,nyavasṛj,sṛj
nyavekz,Ikz,,nyavekṣ,īkṣ
nyas,as,,nyas,as
nyADf,Df,,nyādhṛ,dhṛ
nyAvyaD,vyaD,,nyāvyadh,vyadh
nyAsad,sad,,nyāsad,sad
nyuc,uc,,nyuc,uc
nyud,ud,,nyud,ud
nyubj,ubj,,nyubj,ubj
nyuB,uB,,nyubh,ubh
nyuz,uz,,nyuṣ,uṣ
nyUh,Uh,,nyūh,ūh
nyUh,Uh,,nyūh,ūh
nyf,f,,nyṛ,ṛ
nyfYj,fYj,,nyṛñj,ṛñj
nyfz,fz,,nyṛṣ,ṛṣ
nye,i,,nye,i
nyej,ej,,nyej,ej
padmakoSa,kf,,padmakośa,kṛ
parAkf,kf,,parākṛ,kṛ
parAkram,kram,,parākram,kram
parAkzip,kzip,,parākṣip,kṣip
parAgam,gam,,parāgam,gam
parAcar,car,,parācar,car
parAji,ji,,parāji,ji
parAR,an,,parāṇ,an
parARI,nI,,parāṇī,nī
parARud,nud,,parāṇud,nud
parAdA,dA,1,parādā,dā
parAdru,dru,,parādru,dru
parADAv,DAv,1,parādhāv,dhāv
parADmA,DmA,,parādhmā,dhmā
parApat,pat,,parāpat,pat
parApaS,paS,,parāpaś,paś
parApU,pU,,parāpū,pū
parABU,BU,,parābhū,bhū
parAmfS,mfS,,parāmṛś,mṛś
parAyA,yA,,parāyā,yā
parAvac,vac,,parāvac,vac
parAvad,vad,,parāvad,vad
parAvap,vap,2,parāvap,vap
parAvam,vam,,parāvam,vam
parAvalg,valg,,parāvalg,valg
parAvah,vah,,parāvah,vah
parAvA,vA,2,parāvā,vā
parAvfj,vfj,,parāvṛj,vṛj
parAvft,vft,,parāvṛt,vṛt
parAvyaD,vyaD,,parāvyadh,vyadh
parASF,SF,,parāśṝ,śṝ
parAs,as,,parās,as
parAsic,sic,,parāsic,sic
parAsU,sU,,parāsū,sū
parAsf,sf,,parāsṛ,sṛ
parAsfj,sfj,,parāsṛj,sṛj
parAstamB,stamB,,parāstambh,stambh
parAhan,han,,parāhan,han
parAhA,hA,2,parāhā,hā
parikaT,kaT,,parikath,kath
parikal,kal,2,parikal,kal
parikal,kal,3,parikal,kal
parikIrt,kIrt,,parikīrt,kīrt
parikup,kup,,parikup,kup
parikf,kf,1,parikṛ,kṛ
parikft,kft,2,parikṛt,kṛt
parikft,kft,3,parikṛt,kṛt
parikfz,kfz,,parikṛṣ,kṛṣ
parikF,kF,1,parikṝ,kṝ
parikram,kram,,parikram,kram
parikrI,krI,,parikrī,krī
parikrIq,krIq,,parikrīḍ,krīḍ
parikruD,kruD,,parikrudh,krudh
parikruS,kruS,,parikruś,kruś
pariklam,klam,,pariklam,klam
parikliS,kliS,,parikliś,kliś
parikvaT,kvaT,,parikvath,kvath
parikzar,kzar,,parikṣar,kṣar
parikzal,kzal,2,parikṣal,kṣal
parikzi,kzi,4,parikṣi,kṣi
parikzi,kzi,2,parikṣi,kṣi
parikzip,kzip,,parikṣip,kṣip
pariKid,Kid,,parikhid,khid
pariKyA,KyA,,parikhyā,khyā
parigaR,gaR,,parigaṇ,gaṇ
parigam,gam,,parigam,gam
parigarj,garj,,parigarj,garj
parigarh,garh,,parigarh,garh
parigA,gA,,parigā,gā
parigE,gE,,parigai,gai
parigras,gras,,parigras,gras
parigrah,grah,,parigrah,grah
pariGaw,Gaw,,parighaṭ,ghaṭ
pariGaww,Gaww,,parighaṭṭ,ghaṭṭ
pariGUrR,GUrR,,parighūrṇ,ghūrṇ
pariGfz,Gfz,,parighṛṣ,ghṛṣ
pariGrA,GrA,,parighrā,ghrā
paricakz,cakz,,paricakṣ,cakṣ
paricar,car,,paricar,car
parici,ci,1,parici,ci
parici,ci,2,parici,ci
paricint,cint,,paricint,cint
paricumb,cumb,,paricumb,cumb
paricft,cft,,paricṛt,cṛt
paricCad,Cad,,paricchad,chad
paricCid,Cid,,paricchid,chid
parijalp,jalp,,parijalp,jalp
pariji,ji,,pariji,ji
parijfmB,jfmB,,parijṛmbh,jṛmbh
parijF,jF,1,parijṝ,jṝ
parijYA,jYA,,parijñā,jñā
parijval,jval,,parijval,jval
pariRad,nad,,pariṇad,nad
pariRam,nam,,pariṇam,nam
pariRaS,naS,,pariṇaś,naś
pariRah,nah,,pariṇah,nah
pariRiDA,DA,,pariṇidhā,dhā
pariRihan,han,,pariṇihan,han
pariRI,nI,,pariṇī,nī
pariRud,nud,,pariṇud,nud
paritaq,taq,,paritaḍ,taḍ
paritan,tan,,paritan,tan
paritap,tap,,paritap,tap
paritam,tam,,paritam,tam
paritark,tark,,paritark,tark
paritud,tud,,paritud,tud
parituz,tuz,,parituṣ,tuṣ
paritfd,tfd,,paritṛd,tṛd
parityaj,tyaj,,parityaj,tyaj
paritrE,trE,,paritrai,trai
paridah,dah,,paridah,dah
paridA,dA,1,paridā,dā
paridiv,div,1,paridiv,div
paridIp,dIp,,paridīp,dīp
paridu,du,2,paridu,du
paridfS,dfS,,paridṛś,dṛś
paridF,dF,,paridṝ,dṝ
paridru,dru,,paridru,dru
pariDA,DA,1,paridhā,dhā
pariDAv,DAv,,paridhāv,dhāv
pariDU,DU,,paridhū,dhū
pariDf,Df,,paridhṛ,dhṛ
pariDfz,Dfz,,paridhṛṣ,dhṛṣ
pariniHstan,stan,,pariniḥstan,stan
parinind,nind,,parinind,nind
parinirRij,nij,,parinirṇij,nij
parinirluW,luW,2,parinirluṭh,luṭh
parinirvA,vA,2,parinirvā,vā
parinivft,vft,,parinivṛt,vṛt
parinizad,sad,,pariniṣad,sad
parinizic,sic,,pariniṣic,sic
parinizev,sev,,pariniṣev,sev
parinizWA,sTA,,pariniṣṭhā,sthā
parinizpad,pad,,pariniṣpad,pad
parinft,nft,,parinṛt,nṛt
paripac,pac,,paripac,pac
paripaW,paW,,paripaṭh,paṭh
paripat,pat,,paripat,pat
paripaS,paS,,paripaś,paś
paripA,pA,1,paripā,pā
paripA,pA,3,paripā,pā
paripIq,pIq,,paripīḍ,pīḍ
paripU,pU,,paripū,pū
paripUj,pUj,,paripūj,pūj
paripragrah,grah,,paripragrah,grah
paripraC,praC,,pariprach,prach
paripraRI,nI,,paripraṇī,nī
paripraT,praT,,pariprath,prath
paripramuc,muc,,paripramuc,muc
pariprasyand,syand,,pariprasyand,syand
pariprAp,Ap,,pariprāp,āp
pariprez,iz,,paripreṣ,iṣ
pariplu,plu,,pariplu,plu
paribanD,banD,,paribandh,bandh
paribAD,bAD,,paribādh,bādh
paribfMh,bfMh,,paribṛṃh,bṛṃh
paribrU,brU,,paribrū,brū
pariBakz,Bakz,,paribhakṣ,bhakṣ
pariBarts,Barts,,paribharts,bharts
pariBAz,BAz,,paribhāṣ,bhāṣ
pariBAs,BAs,,paribhās,bhās
pariBuj,Buj,1,paribhuj,bhuj
pariBuj,Buj,3,paribhuj,bhuj
pariBU,BU,,paribhū,bhū
pariBUz,BUz,,paribhūṣ,bhūṣ
pariBf,Bf,,paribhṛ,bhṛ
pariBraMS,BraMS,,paribhraṃś,bhraṃś
pariBram,Bram,,paribhram,bhram
parimA,mA,,parimā,mā
parimArg,mArg,,parimārg,mārg
parimi,mi,1,parimi,mi
parimuc,muc,,parimuc,muc
parimuz,muz,,parimuṣ,muṣ
parimuh,muh,,parimuh,muh
parimf,mf,,parimṛ,mṛ
parimfg,mfg,,parimṛg,mṛg
parimfj,mfj,,parimṛj,mṛj
parimfd,mfd,,parimṛd,mṛd
parimfS,mfS,,parimṛś,mṛś
parimfz,mfz,,parimṛṣ,mṛṣ
parimokz,mokz,,parimokṣ,mokṣ
parimlE,mlE,,parimlai,mlai
pariyaj,yaj,,pariyaj,yaj
pariyat,yat,,pariyat,yat
pariyam,yam,,pariyam,yam
pariyA,yA,,pariyā,yā
parirakz,rakz,,parirakṣ,rakṣ
pariraB,raB,,parirabh,rabh
pariram,ram,,pariram,ram
parirAj,rAj,,parirāj,rāj
paririh,rih,,paririh,rih
pariruc,ruc,,pariruc,ruc
pariruj,ruj,,pariruj,ruj
parilaNG,laNG,,parilaṅgh,laṅgh
parilaB,laB,,parilabh,labh
parilamb,lamb,,parilamb,lamb
parilaz,laz,,parilaṣ,laṣ
pariliK,liK,,parilikh,likh
parilip,lip,,parilip,lip
parilih,lih,,parilih,lih
pariluW,luW,2,pariluṭh,luṭh
parilup,lup,,parilup,lup
pariluB,luB,,parilubh,lubh
parilok,lok,,parilok,lok
parivaYc,vaYc,,parivañc,vañc
parivad,vad,,parivad,vad
parivand,vand,,parivand,vand
parivap,vap,1,parivap,vap
parivap,vap,2,parivap,vap
parivas,vas,4,parivas,vas
parivas,vas,5,parivas,vas
parivas,vas,3,parivas,vas
parivah,vah,,parivah,vah
parivAS,vAS,,parivāś,vāś
parivicar,car,,parivicar,car
parivid,vid,3,parivid,vid
pariviDAv,DAv,,parividhāv,dhāv
pariviS,viS,,pariviś,viś
pariviz,viz,,pariviṣ,viṣ
parivIj,vIj,,parivīj,vīj
parivf,vf,1,parivṛ,vṛ
parivf,vf,2,parivṛ,vṛ
parivfj,vfj,,parivṛj,vṛj
parivft,vft,,parivṛt,vṛt
parivfD,vfD,,parivṛdh,vṛdh
parivfz,vfz,,parivṛṣ,vṛṣ
parive,ve,,parive,ve
parivyaD,vyaD,,parivyadh,vyadh
parivye,vye,,parivye,vye
parivraj,vraj,,parivraj,vraj
parivraSc,vraSc,,parivraśc,vraśc
pariSaNk,SaNk,,pariśaṅk,śaṅk
pariSap,Sap,,pariśap,śap
pariSiz,Siz,,pariśiṣ,śiṣ
pariSI,SI,,pariśī,śī
pariSIl,SIl,,pariśīl,śīl
pariSuc,Suc,,pariśuc,śuc
pariSuD,SuD,,pariśudh,śudh
pariSuB,SuB,,pariśubh,śubh
pariSuz,Suz,,pariśuṣ,śuṣ
pariSri,Sri,,pariśri,śri
pariSru,Sru,,pariśru,śru
parizaYj,saYj,,pariṣañj,sañj
parizad,sad,,pariṣad,sad
parizah,sah,,pariṣah,sah
parizic,sic,,pariṣic,sic
pariziD,siD,,pariṣidh,sidh
pariziv,siv,,pariṣiv,siv
parizu,zu,3,pariṣu,ṣu
parizU,sU,,pariṣū,sū
parizev,sev,,pariṣev,sev
parizo,so,,pariṣo,so
parizkand,skand,,pariṣkand,skand
parizkf,kf,,pariṣkṛ,kṛ
parizwamB,stamB,,pariṣṭambh,stambh
parizwu,stu,,pariṣṭu,stu
parizwuB,stuB,,pariṣṭubh,stubh
parizWA,sTA,,pariṣṭhā,sthā
parizvaj,svaj,,pariṣvaj,svaj
parizvan,svan,,pariṣvan,svan
parisaMkrIq,krIq,,parisaṃkrīḍ,krīḍ
parisaMkzip,kzip,,parisaṃkṣip,kṣip
parisaMKyA,KyA,,parisaṃkhyā,khyā
parisaMlih,lih,,parisaṃlih,lih
parisaMvad,vad,,parisaṃvad,vad
parisaMspfS,spfS,,parisaṃspṛś,spṛś
parisamUh,Uh,1,parisamūh,ūh
parisame,i,,parisame,i
parisf,sf,,parisṛ,sṛ
parisfp,sfp,,parisṛp,sṛp
parisKal,sKal,,pariskhal,skhal
paristf,stf,,paristṛ,stṛ
parispand,spand,,parispand,spand
parispfS,spfS,,parispṛś,spṛś
parisPuw,sPuw,,parisphuṭ,sphuṭ
parisPur,sPur,,parisphur,sphur
parisru,sru,,parisru,sru
parihan,han,,parihan,han
parihas,has,,parihas,has
parihA,hA,3,parihā,hā
parihi,hi,,parihi,hi
parihiRq,hiRq,,parihiṇḍ,hiṇḍ
parihf,hf,,parihṛ,hṛ
parI,i,,parī,i
parIkz,Ikz,,parīkṣ,īkṣ
parItat,tan,,parītat,tan
parIS,IS,,parīś,īś
parIz,iz,,parīṣ,iṣ
pare,i,,pare,i
parekz,Ikz,,parekṣ,īkṣ
paryaNK,aNK,,paryaṅkh,aṅkh
paryaYc,aYc,,paryañc,añc
paryaw,aw,,paryaṭ,aṭ
paryan,an,,paryan,an
paryanviz,iz,3,paryanviṣ,iṣ
paryavakF,kF,,paryavakṝ,kṝ
paryavacCid,Cid,,paryavacchid,chid
paryavado,do,,paryavado,do
paryavanud,nud,,paryavanud,nud
paryavazwamB,stamB,,paryavaṣṭambh,stambh
paryavasfp,sfp,,paryavasṛp,sṛp
paryavaso,so,,paryavaso,so
paryavasTA,sTA,,paryavasthā,sthā
paryavAp,Ap,,paryavāp,āp
paryave,i,,paryave,i
paryavekz,Ikz,,paryavekṣ,īkṣ
paryaS,aS,1,paryaś,aś
paryaS,aS,2,paryaś,aś
paryas,as,1,paryas,as
paryas,as,2,paryas,as
paryAkzip,kzip,,paryākṣip,kṣip
paryAgam,gam,,paryāgam,gam
paryAgal,gal,,paryāgal,gal
paryAcar,car,,paryācar,car
paryARah,nah,,paryāṇah,nah
paryARI,nI,,paryāṇī,nī
paryAtan,tan,,paryātan,tan
paryAdA,dA,,paryādā,dā
paryAdru,dru,,paryādru,dru
paryADA,DA,,paryādhā,dhā
paryAp,Ap,,paryāp,āp
paryApat,pat,,paryāpat,pat
paryABf,Bf,,paryābhṛ,bhṛ
paryAmuc,muc,,paryāmuc,muc
paryAmfS,mfS,,paryāmṛś,mṛś
paryAruh,ruh,,paryāruh,ruh
paryAvap,vap,2,paryāvap,vap
paryAvft,vft,,paryāvṛt,vṛt
paryASvas,Svas,,paryāśvas,śvas
paryAs,As,,paryās,ās
paryAhf,hf,,paryāhṛ,hṛ
paryAhve,hve,,paryāhve,hve
paryukz,ukz,,paryukṣ,ukṣ
paryutTA,sTA,,paryutthā,sthā
paryutsfj,sfj,,paryutsṛj,sṛj
paryudas,as,2,paryudas,as
paryupalip,lip,,paryupalip,lip
paryupaviS,viS,,paryupaviś,viś
paryupasTA,sTA,,paryupasthā,sthā
paryupahve,hve,,paryupahve,hve
paryupAs,As,,paryupās,ās
paryUrRu,UrRu,,paryūrṇu,ūrṇu
paryUh,Uh,1,paryūh,ūh
paryfz,fz,1,paryṛṣ,ṛṣ
paryfz,fz,2,paryṛṣ,ṛṣ
parye,i,,parye,i
palyaNg,aNg,,palyaṅg,aṅg
palyay,ay,,palyay,ay
piDA,DA,,pidhā,dhā
pinah,nah,,pinah,nah
pinI,nI,,pinī,nī
puraskf,kf,,puraskṛ,kṛ
puroDA,DA,,purodhā,dhā
prakaT,kaT,,prakath,kath
prakamp,kamp,,prakamp,kamp
prakal,kal,2,prakal,kal
prakANkz,kANkz,,prakāṅkṣ,kāṅkṣ
prakAS,kAS,,prakāś,kāś
prakASIkf,kf,,prakāśīkṛ,kṛ
prakIrt,kIrt,,prakīrt,kīrt
prakup,kup,,prakup,kup
prakUj,kUj,,prakūj,kūj
prakUrd,kUrd,,prakūrd,kūrd
prakf,kf,1,prakṛ,kṛ
prakft,kft,2,prakṛt,kṛt
prakfz,kfz,,prakṛṣ,kṛṣ
prakF,kF,1,prakṝ,kṝ
prakxp,kxp,,prakḷp,kḷp
prakram,kram,,prakram,kram
prakrIq,krIq,,prakrīḍ,krīḍ
prakruS,kruS,,prakruś,kruś
praklid,klid,,praklid,klid
prakvaR,kvaR,,prakvaṇ,kvaṇ
prakzar,kzar,,prakṣar,kṣar
prakzal,kzal,,prakṣal,kṣal
prakzi,kzi,,prakṣi,kṣi
prakzip,kzip,,prakṣip,kṣip
prakzud,kzud,,prakṣud,kṣud
prakzuB,kzuB,,prakṣubh,kṣubh
prakzE,kzE,,prakṣai,kṣai
prakzRu,kzRu,,prakṣṇu,kṣṇu
praKAd,KAd,,prakhād,khād
praKud,Kud,,prakhud,khud
praKyA,KyA,,prakhyā,khyā
pragaR,gaR,,pragaṇ,gaṇ
pragam,gam,,pragam,gam
pragarj,garj,,pragarj,garj
pragalB,galB,,pragalbh,galbh
pragA,gA,,pragā,gā
pragAh,gAh,,pragāh,gāh
pragF,gF,1,pragṝ,gṝ
pragE,gE,,pragai,gai
pragraT,graT,,pragrath,grath
pragras,gras,,pragras,gras
pragrah,grah,,pragrah,grah
praglE,glE,,praglai,glai
praGaw,Gaw,,praghaṭ,ghaṭ
praGAtaya,GAtaya,,praghātaya,ghātaya
praGf,Gf,,praghṛ,ghṛ
praGfz,Gfz,,praghṛṣ,ghṛṣ
pracakz,cakz,,pracakṣ,cakṣ
pracat,cat,,pracat,cat
pracar,car,,pracar,car
pracal,cal,,pracal,cal
praci,ci,1,praci,ci
pracit,cit,,pracit,cit
pracint,cint,,pracint,cint
pracud,cud,,pracud,cud
pracUrR,cUrR,,pracūrṇ,cūrṇ
pracft,cft,,pracṛt,cṛt
pracCad,Cad,,pracchad,chad
pracCid,Cid,,pracchid,chid
pracCuq,Cuq,,pracchuḍ,chuḍ
pracCfd,Cfd,,pracchṛd,chṛd
pracCo,Co,,praccho,cho
pracyu,cyu,,pracyu,cyu
prajan,jan,,prajan,jan
prajap,jap,,prajap,jap
prajalp,jalp,,prajalp,jalp
prajAgf,jAgf,,prajāgṛ,jāgṛ
praji,ji,,praji,ji
prajinv,jinv,,prajinv,jinv
prajU,jU,,prajū,jū
prajfmB,jfmB,,prajṛmbh,jṛmbh
prajF,jF,,prajṝ,jṝ
prajYA,jYA,,prajñā,jñā
prajval,jval,,prajval,jval
praRad,nad,,praṇad,nad
praRaB,naB,,praṇabh,nabh
praRam,nam,,praṇam,nam
praRaS,naS,,praṇaś,naś
praRaS,naS,,praṇaś,naś
praRikz,nikz,,praṇikṣ,nikṣ
praRigad,gad,,praṇigad,gad
praRij,nij,,praṇij,nij
praRijYA,jYA,,praṇijñā,jñā
praRiDA,DA,,praṇidhā,dhā
praRind,nind,,praṇind,nind
praRipat,pat,,praṇipat,pat
praRihan,han,,praṇihan,han
praRI,nI,,praṇī,nī
praRu,nu,,praṇu,nu
praRud,nud,,praṇud,nud
pratakz,takz,,pratakṣ,takṣ
prataq,taq,,prataḍ,taḍ
pratan,tan,,pratan,tan
pratap,tap,,pratap,tap
pratam,tam,,pratam,tam
pratark,tark,,pratark,tark
pratikANkz,kANkz,,pratikāṅkṣ,kāṅkṣ
pratikUj,kUj,,pratikūj,kūj
pratikf,kf,,pratikṛ,kṛ
pratikF,kF,,pratikṝ,kṝ
pratikxp,kxp,,pratikḷp,kḷp
pratikram,kram,,pratikram,kram
pratikruD,kruD,,pratikrudh,krudh
pratikzip,kzip,,pratikṣip,kṣip
pratiKyA,KyA,,pratikhyā,khyā
pratigad,gad,,pratigad,gad
pratigam,gam,,pratigam,gam
pratigarj,garj,,pratigarj,garj
pratigAh,gAh,,pratigāh,gāh
pratigfD,gfD,,pratigṛdh,gṛdh
pratigF,gF,,pratigṝ,gṝ
pratigrah,grah,,pratigrah,grah
praticakz,cakz,,praticakṣ,cakṣ
praticar,car,,praticar,car
praticikIrz,kf,,praticikīrṣ,kṛ
praticint,cint,,praticint,cint
praticCad,Cad,,praticchad,chad
praticCid,Cid,,praticchid,chid
pratijan,jan,,pratijan,jan
pratijap,jap,,pratijap,jap
pratijalp,jalp,,pratijalp,jalp
pratijAgf,jAgf,,pratijāgṛ,jāgṛ
pratiji,ji,,pratiji,ji
pratijuz,juz,,pratijuṣ,juṣ
pratijf,jf,,pratijṛ,jṛ
pratijYA,jYA,,pratijñā,jñā
pratijval,jval,,pratijval,jval
pratitaq,taq,,pratitaḍ,taḍ
pratitap,tap,,pratitap,tap
pratidah,dah,,pratidah,dah
pratidA,dA,,pratidā,dā
pratidiv,div,2,pratidiv,div
pratiduh,duh,,pratiduh,duh
pratidfS,dfS,,pratidṛś,dṛś
pratiDA,DA,,pratidhā,dhā
pratiDAv,DAv,,pratidhāv,dhāv
pratiDf,Df,,pratidhṛ,dhṛ
pratinad,nad,,pratinad,nad
pratinand,nand,,pratinand,nand
pratinard,nard,,pratinard,nard
pratiniHsfj,sfj,,pratiniḥsṛj,sṛj
pratinikzip,kzip,,pratinikṣip,kṣip
pratinigad,gad,,pratinigad,gad
pratinigrah,grah,,pratinigrah,grah
pratiniDA,DA,,pratinidhā,dhā
pratinind,nind,,pratinind,nind
pratiniras,as,,pratiniras,as
pratiniryA,yA,,pratiniryā,yā
pratinirvap,vap,,pratinirvap,vap
pratinivft,vft,,pratinivṛt,vṛt
pratinizpU,pU,,pratiniṣpū,pū
pratinistF,tF,,pratinistṝ,tṝ
pratinI,nI,,pratinī,nī
pratinu,nu,,pratinu,nu
pratinud,nud,,pratinud,nud
pratinft,nft,,pratinṛt,nṛt
pratinyAgam,gam,,pratinyāgam,gam
pratipat,pat,,pratipat,pat
pratipad,pad,,pratipad,pad
pratiparARI,nI,,pratiparāṇī,nī
pratiparAhf,hf,,pratiparāhṛ,hṛ
pratiparI,i,,pratiparī,i
pratipare,i,,pratipare,i
pratiparyAvft,vft,,pratiparyāvṛt,vṛt
pratiparyAhf,hf,,pratiparyāhṛ,hṛ
pratipaS,paS,,pratipaś,paś
pratipAl,pAl,,pratipāl,pāl
pratipiz,piz,,pratipiṣ,piṣ
pratipIq,pIq,,pratipīḍ,pīḍ
pratipIy,pIy,,pratipīy,pīy
pratipUj,pUj,,pratipūj,pūj
pratipF,pF,,pratipṝ,pṝ
pratipragrah,grah,,pratipragrah,grah
pratipraC,praC,,pratiprach,prach
pratiprajYA,jYA,,pratiprajñā,jñā
pratipradA,dA,,pratipradā,dā
pratiprabrU,brU,,pratiprabrū,brū
pratipramuc,muc,,pratipramuc,muc
pratiprayam,yam,,pratiprayam,yam
pratiprayA,yA,,pratiprayā,yā
pratiprayuj,yuj,,pratiprayuj,yuj
pratipraviS,viS,,pratipraviś,viś
pratiprasU,sU,,pratiprasū,sū
pratiprasfp,sfp,,pratiprasṛp,sṛp
pratiprahi,hi,,pratiprahi,hi
pratiprAyA,yA,,pratiprāyā,yā
pratiprAs,as,,pratiprās,as
pratiPal,Pal,,pratiphal,phal
pratibanD,banD,,pratibandh,bandh
pratibAD,bAD,,pratibādh,bādh
pratibuD,buD,,pratibudh,budh
pratibrU,brU,,pratibrū,brū
