form,root,class,person,number,mode,voice,modification,form_IAST,root_IAST
apyAyaTAs,pyA,1,2,s,ipft,atma,,apyāyathās,pyā
apyAyaDvam,pyA,1,2,p,ipft,atma,,apyāyadhvam,pyā
apyAyanta,pyA,1,3,p,ipft,atma,,apyāyanta,pyā
apyAyAmahi,pyA,1,1,p,ipft,atma,,apyāyāmahi,pyā
apyAyAvahi,pyA,1,1,d,ipft,atma,,apyāyāvahi,pyā
apyAye,pyA,1,1,s,ipft,atma,,apyāye,pyā
apyAyetAm,pyA,1,3,d,ipft,atma,,apyāyetām,pyā
apyAyeTAm,pyA,1,2,d,ipft,atma,,apyāyethām,pyā
apyAyyata,pyA,,3,s,ipft,pass,,apyāyyata,pyā
apyAyyaTAs,pyA,,2,s,ipft,pass,,apyāyyathās,pyā
apyAyyaDvam,pyA,,2,p,ipft,pass,,apyāyyadhvam,pyā
apyAyyanta,pyA,,3,p,ipft,pass,,apyāyyanta,pyā
apyAyyAmahi,pyA,,1,p,ipft,pass,,apyāyyāmahi,pyā
apyAyyAvahi,pyA,,1,d,ipft,pass,,apyāyyāvahi,pyā
apyAyye,pyA,,1,s,ipft,pass,,apyāyye,pyā
apyAyyetAm,pyA,,3,d,ipft,pass,,apyāyyetām,pyā
apyAyyeTAm,pyA,,2,d,ipft,pass,,apyāyyethām,pyā
aprakzata,praS,,3,p,aor,atma,,aprakṣata,praś
aprakzAtAm,praS,,3,d,aor,atma,,aprakṣātām,praś
aprakzATAm,praS,,2,d,aor,atma,,aprakṣāthām,praś
aprakzi,praS,,1,s,aor,atma,,aprakṣi,praś
aprakzmahi,praS,,1,p,aor,atma,,aprakṣmahi,praś
aprakzvahi,praS,,1,d,aor,atma,,aprakṣvahi,praś
apracCayat,praS,,3,s,ipft,para,caus,apracchayat,praś
apracCayata,praS,,3,s,ipft,atma,caus,apracchayata,praś
apracCayatam,praS,,2,d,ipft,para,caus,apracchayatam,praś
apracCayatAm,praS,,3,d,ipft,para,caus,apracchayatām,praś
apracCayaTAs,praS,,2,s,ipft,atma,caus,apracchayathās,praś
apracCayaDvam,praS,,2,p,ipft,atma,caus,apracchayadhvam,praś
apracCayan,praS,,3,p,ipft,para,caus,apracchayan,praś
apracCayanta,praS,,3,p,ipft,atma,caus,apracchayanta,praś
apracCayam,praS,,1,s,ipft,para,caus,apracchayam,praś
apracCayas,praS,,2,s,ipft,para,caus,apracchayas,praś
apracCayAma,praS,,1,p,ipft,para,caus,apracchayāma,praś
apracCayAmahi,praS,,1,p,ipft,atma,caus,apracchayāmahi,praś
apracCayAva,praS,,1,d,ipft,para,caus,apracchayāva,praś
apracCayAvahi,praS,,1,d,ipft,atma,caus,apracchayāvahi,praś
apracCaye,praS,,1,s,ipft,atma,caus,apracchaye,praś
apracCayetAm,praS,,3,d,ipft,atma,caus,apracchayetām,praś
apracCayeTAm,praS,,2,d,ipft,atma,caus,apracchayethām,praś
apracCyata,praS,,3,s,ipft,pass,caus,apracchyata,praś
apracCyaTAs,praS,,2,s,ipft,pass,caus,apracchyathās,praś
apracCyaDvam,praS,,2,p,ipft,pass,caus,apracchyadhvam,praś
apracCyanta,praS,,3,p,ipft,pass,caus,apracchyanta,praś
apracCyAmahi,praS,,1,p,ipft,pass,caus,apracchyāmahi,praś
apracCyAvahi,praS,,1,d,ipft,pass,caus,apracchyāvahi,praś
apracCye,praS,,1,s,ipft,pass,caus,apracchye,praś
apracCyetAm,praS,,3,d,ipft,pass,caus,apracchyetām,praś
apracCyeTAm,praS,,2,d,ipft,pass,caus,apracchyethām,praś
apraqQvam,praS,,2,p,aor,atma,,apraḍḍhvam,praś
apratikUlayat,pratikUla,denom,3,s,ipft,para,,apratikūlayat,pratikūla
apratikUlayata,pratikUla,denom,2,p,ipft,para,,apratikūlayata,pratikūla
apratikUlayatam,pratikUla,denom,2,d,ipft,para,,apratikūlayatam,pratikūla
apratikUlayatAm,pratikUla,denom,3,d,ipft,para,,apratikūlayatām,pratikūla
apratikUlayan,pratikUla,denom,3,p,ipft,para,,apratikūlayan,pratikūla
apratikUlayam,pratikUla,denom,1,s,ipft,para,,apratikūlayam,pratikūla
apratikUlayas,pratikUla,denom,2,s,ipft,para,,apratikūlayas,pratikūla
apratikUlayAma,pratikUla,denom,1,p,ipft,para,,apratikūlayāma,pratikūla
apratikUlayAva,pratikUla,denom,1,d,ipft,para,,apratikūlayāva,pratikūla
apraTata,praT,1,3,s,ipft,atma,,aprathata,prath
apraTaTAs,praT,1,2,s,ipft,atma,,aprathathās,prath
apraTaDvam,praT,1,2,p,ipft,atma,,aprathadhvam,prath
apraTanta,praT,1,3,p,ipft,atma,,aprathanta,prath
apraTayat,praT,,3,s,ipft,para,caus,aprathayat,prath
apraTayata,praT,,3,s,ipft,atma,caus,aprathayata,prath
apraTayatam,praT,,2,d,ipft,para,caus,aprathayatam,prath
apraTayatAm,praT,,3,d,ipft,para,caus,aprathayatām,prath
apraTayaTAs,praT,,2,s,ipft,atma,caus,aprathayathās,prath
apraTayaDvam,praT,,2,p,ipft,atma,caus,aprathayadhvam,prath
apraTayan,praT,,3,p,ipft,para,caus,aprathayan,prath
apraTayanta,praT,,3,p,ipft,atma,caus,aprathayanta,prath
apraTayam,praT,,1,s,ipft,para,caus,aprathayam,prath
apraTayas,praT,,2,s,ipft,para,caus,aprathayas,prath
apraTayAma,praT,,1,p,ipft,para,caus,aprathayāma,prath
apraTayAmahi,praT,,1,p,ipft,atma,caus,aprathayāmahi,prath
apraTayAva,praT,,1,d,ipft,para,caus,aprathayāva,prath
apraTayAvahi,praT,,1,d,ipft,atma,caus,aprathayāvahi,prath
apraTaye,praT,,1,s,ipft,atma,caus,aprathaye,prath
apraTayetAm,praT,,3,d,ipft,atma,caus,aprathayetām,prath
apraTayeTAm,praT,,2,d,ipft,atma,caus,aprathayethām,prath
apraTAmahi,praT,1,1,p,ipft,atma,,aprathāmahi,prath
apraTAvahi,praT,1,1,d,ipft,atma,,aprathāvahi,prath
apraTe,praT,1,1,s,ipft,atma,,aprathe,prath
apraTetAm,praT,1,3,d,ipft,atma,,aprathetām,prath
apraTeTAm,praT,1,2,d,ipft,atma,,aprathethām,prath
apraTyata,praT,,3,s,ipft,pass,,aprathyata,prath
apraTyaTAs,praT,,2,s,ipft,pass,,aprathyathās,prath
apraTyaDvam,praT,,2,p,ipft,pass,,aprathyadhvam,prath
apraTyanta,praT,,3,p,ipft,pass,,aprathyanta,prath
apraTyAmahi,praT,,1,p,ipft,pass,,aprathyāmahi,prath
apraTyAvahi,praT,,1,d,ipft,pass,,aprathyāvahi,prath
apraTye,praT,,1,s,ipft,pass,,aprathye,prath
apraTyetAm,praT,,3,d,ipft,pass,,aprathyetām,prath
apraTyeTAm,praT,,2,d,ipft,pass,,aprathyethām,prath
apravata,pru,1,3,s,ipft,atma,,apravata,pru
apravaTAs,pru,1,2,s,ipft,atma,,apravathās,pru
apravaDvam,pru,1,2,p,ipft,atma,,apravadhvam,pru
apravanta,pru,1,3,p,ipft,atma,,apravanta,pru
apravAmahi,pru,1,1,p,ipft,atma,,apravāmahi,pru
apravAvahi,pru,1,1,d,ipft,atma,,apravāvahi,pru
aprave,pru,1,1,s,ipft,atma,,aprave,pru
apravetAm,pru,1,3,d,ipft,atma,,apravetām,pru
apraveTAm,pru,1,2,d,ipft,atma,,apravethām,pru
aprazwa,praS,,3,s,aor,atma,,apraṣṭa,praś
aprazWAs,praS,,2,s,aor,atma,,apraṣṭhās,praś
aprasAdayat,prasAda,denom,3,s,ipft,para,,aprasādayat,prasāda
aprasAdayata,prasAda,denom,2,p,ipft,para,,aprasādayata,prasāda
aprasAdayatam,prasAda,denom,2,d,ipft,para,,aprasādayatam,prasāda
aprasAdayatAm,prasAda,denom,3,d,ipft,para,,aprasādayatām,prasāda
aprasAdayan,prasAda,denom,3,p,ipft,para,,aprasādayan,prasāda
aprasAdayam,prasAda,denom,1,s,ipft,para,,aprasādayam,prasāda
aprasAdayas,prasAda,denom,2,s,ipft,para,,aprasādayas,prasāda
aprasAdayAma,prasAda,denom,1,p,ipft,para,,aprasādayāma,prasāda
aprasAdayAva,prasAda,denom,1,d,ipft,para,,aprasādayāva,prasāda
aprAkzam,praS,,1,s,aor,para,,aprākṣam,praś
aprAkzIt,praS,,3,s,aor,para,,aprākṣīt,praś
aprAkzIs,praS,,2,s,aor,para,,aprākṣīs,praś
aprAkzur,praS,,3,p,aor,para,,aprākṣur,praś
aprAkzma,praS,,1,p,aor,para,,aprākṣma,praś
aprAkzva,praS,,1,d,aor,para,,aprākṣva,praś
aprAt,prA#1,2,3,s,ipft,para,,aprāt,prā#1
aprAta,prA#1,2,2,p,ipft,para,,aprāta,prā#1
aprAtam,prA#1,2,2,d,ipft,para,,aprātam,prā#1
aprAtAm,prA#1,2,3,d,ipft,para,,aprātām,prā#1
aprAn,prA#1,2,3,p,ipft,para,,aprān,prā#1
aprAm,prA#1,2,1,s,ipft,para,,aprām,prā#1
aprAma,prA#1,2,1,p,ipft,para,,aprāma,prā#1
aprAva,prA#1,2,1,d,ipft,para,,aprāva,prā#1
aprAvayat,pru,,3,s,ipft,para,caus,aprāvayat,pru
aprAvayata,pru,,3,s,ipft,atma,caus,aprāvayata,pru
aprAvayatam,pru,,2,d,ipft,para,caus,aprāvayatam,pru
aprAvayatAm,pru,,3,d,ipft,para,caus,aprāvayatām,pru
aprAvayaTAs,pru,,2,s,ipft,atma,caus,aprāvayathās,pru
aprAvayaDvam,pru,,2,p,ipft,atma,caus,aprāvayadhvam,pru
aprAvayan,pru,,3,p,ipft,para,caus,aprāvayan,pru
aprAvayanta,pru,,3,p,ipft,atma,caus,aprāvayanta,pru
aprAvayam,pru,,1,s,ipft,para,caus,aprāvayam,pru
aprAvayas,pru,,2,s,ipft,para,caus,aprāvayas,pru
aprAvayAma,pru,,1,p,ipft,para,caus,aprāvayāma,pru
aprAvayAmahi,pru,,1,p,ipft,atma,caus,aprāvayāmahi,pru
aprAvayAva,pru,,1,d,ipft,para,caus,aprāvayāva,pru
aprAvayAvahi,pru,,1,d,ipft,atma,caus,aprāvayāvahi,pru
aprAvaye,pru,,1,s,ipft,atma,caus,aprāvaye,pru
aprAvayetAm,pru,,3,d,ipft,atma,caus,aprāvayetām,pru
aprAvayeTAm,pru,,2,d,ipft,atma,caus,aprāvayethām,pru
aprAvyata,pru,,3,s,ipft,pass,caus,aprāvyata,pru
aprAvyaTAs,pru,,2,s,ipft,pass,caus,aprāvyathās,pru
aprAvyaDvam,pru,,2,p,ipft,pass,caus,aprāvyadhvam,pru
aprAvyanta,pru,,3,p,ipft,pass,caus,aprāvyanta,pru
aprAvyAmahi,pru,,1,p,ipft,pass,caus,aprāvyāmahi,pru
aprAvyAvahi,pru,,1,d,ipft,pass,caus,aprāvyāvahi,pru
aprAvye,pru,,1,s,ipft,pass,caus,aprāvye,pru
aprAvyetAm,pru,,3,d,ipft,pass,caus,aprāvyetām,pru
aprAvyeTAm,pru,,2,d,ipft,pass,caus,aprāvyethām,pru
aprAzwa,praS,,2,p,aor,para,,aprāṣṭa,praś
aprAzwam,praS,,2,d,aor,para,,aprāṣṭam,praś
aprAzwAm,praS,,3,d,aor,para,,aprāṣṭām,praś
aprAs,prA#1,2,2,s,ipft,para,,aprās,prā#1
aprAsAdIyat,prAsAda,denom,3,s,ipft,para,,aprāsādīyat,prāsāda
aprAsAdIyata,prAsAda,denom,2,p,ipft,para,,aprāsādīyata,prāsāda
aprAsAdIyatam,prAsAda,denom,2,d,ipft,para,,aprāsādīyatam,prāsāda
aprAsAdIyatAm,prAsAda,denom,3,d,ipft,para,,aprāsādīyatām,prāsāda
aprAsAdIyan,prAsAda,denom,3,p,ipft,para,,aprāsādīyan,prāsāda
aprAsAdIyam,prAsAda,denom,1,s,ipft,para,,aprāsādīyam,prāsāda
aprAsAdIyas,prAsAda,denom,2,s,ipft,para,,aprāsādīyas,prāsāda
aprAsAdIyAma,prAsAda,denom,1,p,ipft,para,,aprāsādīyāma,prāsāda
aprAsAdIyAva,prAsAda,denom,1,d,ipft,para,,aprāsādīyāva,prāsāda
apriyata,pf#1,,3,s,ipft,pass,,apriyata,pṛ#1
apriyata,pf#2,,3,s,ipft,pass,,apriyata,pṛ#2
apriyaTAs,pf#1,,2,s,ipft,pass,,apriyathās,pṛ#1
apriyaTAs,pf#2,,2,s,ipft,pass,,apriyathās,pṛ#2
apriyaDvam,pf#1,,2,p,ipft,pass,,apriyadhvam,pṛ#1
apriyaDvam,pf#2,,2,p,ipft,pass,,apriyadhvam,pṛ#2
apriyanta,pf#1,,3,p,ipft,pass,,apriyanta,pṛ#1
apriyanta,pf#2,,3,p,ipft,pass,,apriyanta,pṛ#2
apriyAmahi,pf#1,,1,p,ipft,pass,,apriyāmahi,pṛ#1
apriyAmahi,pf#2,,1,p,ipft,pass,,apriyāmahi,pṛ#2
apriyAyata,priya,denom,3,s,ipft,atma,,apriyāyata,priya
apriyAyaTAs,priya,denom,2,s,ipft,atma,,apriyāyathās,priya
apriyAyaDvam,priya,denom,2,p,ipft,atma,,apriyāyadhvam,priya
apriyAyanta,priya,denom,3,p,ipft,atma,,apriyāyanta,priya
apriyAyAmahi,priya,denom,1,p,ipft,atma,,apriyāyāmahi,priya
apriyAyAvahi,priya,denom,1,d,ipft,atma,,apriyāyāvahi,priya
apriyAye,priya,denom,1,s,ipft,atma,,apriyāye,priya
apriyAyetAm,priya,denom,3,d,ipft,atma,,apriyāyetām,priya
apriyAyeTAm,priya,denom,2,d,ipft,atma,,apriyāyethām,priya
apriyAvahi,pf#1,,1,d,ipft,pass,,apriyāvahi,pṛ#1
apriyAvahi,pf#2,,1,d,ipft,pass,,apriyāvahi,pṛ#2
apriye,pf#1,,1,s,ipft,pass,,apriye,pṛ#1
apriye,pf#2,,1,s,ipft,pass,,apriye,pṛ#2
apriyetAm,pf#1,,3,d,ipft,pass,,apriyetām,pṛ#1
apriyetAm,pf#2,,3,d,ipft,pass,,apriyetām,pṛ#2
apriyeTAm,pf#1,,2,d,ipft,pass,,apriyethām,pṛ#1
apriyeTAm,pf#2,,2,d,ipft,pass,,apriyethām,pṛ#2
aprIRata,prI,9,3,p,ipft,atma,,aprīṇata,prī
aprIRan,prI,9,3,p,ipft,para,,aprīṇan,prī
aprIRayat,prI,,3,s,ipft,para,caus,aprīṇayat,prī
aprIRayata,prI,,3,s,ipft,atma,caus,aprīṇayata,prī
aprIRayatam,prI,,2,d,ipft,para,caus,aprīṇayatam,prī
aprIRayatAm,prI,,3,d,ipft,para,caus,aprīṇayatām,prī
aprIRayaTAs,prI,,2,s,ipft,atma,caus,aprīṇayathās,prī
aprIRayaDvam,prI,,2,p,ipft,atma,caus,aprīṇayadhvam,prī
aprIRayan,prI,,3,p,ipft,para,caus,aprīṇayan,prī
aprIRayanta,prI,,3,p,ipft,atma,caus,aprīṇayanta,prī
aprIRayam,prI,,1,s,ipft,para,caus,aprīṇayam,prī
aprIRayas,prI,,2,s,ipft,para,caus,aprīṇayas,prī
aprIRayAma,prI,,1,p,ipft,para,caus,aprīṇayāma,prī
aprIRayAmahi,prI,,1,p,ipft,atma,caus,aprīṇayāmahi,prī
aprIRayAva,prI,,1,d,ipft,para,caus,aprīṇayāva,prī
aprIRayAvahi,prI,,1,d,ipft,atma,caus,aprīṇayāvahi,prī
aprIRaye,prI,,1,s,ipft,atma,caus,aprīṇaye,prī
aprIRayetAm,prI,,3,d,ipft,atma,caus,aprīṇayetām,prī
aprIRayeTAm,prI,,2,d,ipft,atma,caus,aprīṇayethām,prī
aprIRAt,prI,9,3,s,ipft,para,,aprīṇāt,prī
aprIRAtAm,prI,9,3,d,ipft,atma,,aprīṇātām,prī
aprIRATAm,prI,9,2,d,ipft,atma,,aprīṇāthām,prī
aprIRAm,prI,9,1,s,ipft,para,,aprīṇām,prī
aprIRAs,prI,9,2,s,ipft,para,,aprīṇās,prī
aprIRi,prI,9,1,s,ipft,atma,,aprīṇi,prī
aprIRIta,prI,9,3,s,ipft,atma,,aprīṇīta,prī
aprIRItam,prI,9,2,d,ipft,para,,aprīṇītam,prī
aprIRItAm,prI,9,3,d,ipft,para,,aprīṇītām,prī
aprIRITAs,prI,9,2,s,ipft,atma,,aprīṇīthās,prī
aprIRIDvam,prI,9,2,p,ipft,atma,,aprīṇīdhvam,prī
aprIRIma,prI,9,1,p,ipft,para,,aprīṇīma,prī
aprIRImahi,prI,9,1,p,ipft,atma,,aprīṇīmahi,prī
aprIRIva,prI,9,1,d,ipft,para,,aprīṇīva,prī
aprIRIvahi,prI,9,1,d,ipft,atma,,aprīṇīvahi,prī
aprIRyata,prI,,3,s,ipft,pass,caus,aprīṇyata,prī
aprIRyaTAs,prI,,2,s,ipft,pass,caus,aprīṇyathās,prī
aprIRyaDvam,prI,,2,p,ipft,pass,caus,aprīṇyadhvam,prī
aprIRyanta,prI,,3,p,ipft,pass,caus,aprīṇyanta,prī
aprIRyAmahi,prI,,1,p,ipft,pass,caus,aprīṇyāmahi,prī
aprIRyAvahi,prI,,1,d,ipft,pass,caus,aprīṇyāvahi,prī
aprIRye,prI,,1,s,ipft,pass,caus,aprīṇye,prī
aprIRyetAm,prI,,3,d,ipft,pass,caus,aprīṇyetām,prī
aprIRyeTAm,prI,,2,d,ipft,pass,caus,aprīṇyethām,prī
aprIyata,prI,,3,s,ipft,pass,,aprīyata,prī
aprIyaTAs,prI,,2,s,ipft,pass,,aprīyathās,prī
aprIyaDvam,prI,,2,p,ipft,pass,,aprīyadhvam,prī
aprIyanta,prI,,3,p,ipft,pass,,aprīyanta,prī
aprIyAt,prI,,3,s,aor,para,,aprīyāt,prī
aprIyAta,prI,,2,p,aor,para,,aprīyāta,prī
aprIyAtam,prI,,2,d,aor,para,,aprīyātam,prī
aprIyAtAm,prI,,3,d,aor,para,,aprīyātām,prī
aprIyAm,prI,,1,s,aor,para,,aprīyām,prī
aprIyAma,prI,,1,p,aor,para,,aprīyāma,prī
aprIyAmahi,prI,,1,p,ipft,pass,,aprīyāmahi,prī
aprIyAva,prI,,1,d,aor,para,,aprīyāva,prī
aprIyAvahi,prI,,1,d,ipft,pass,,aprīyāvahi,prī
aprIyAs,prI,,2,s,aor,para,,aprīyās,prī
aprIyur,prI,,3,p,aor,para,,aprīyur,prī
aprIye,prI,,1,s,ipft,pass,,aprīye,prī
aprIyetAm,prI,,3,d,ipft,pass,,aprīyetām,prī
aprIyeTAm,prI,,2,d,ipft,pass,,aprīyethām,prī
aprUyata,pru,,3,s,ipft,pass,,aprūyata,pru
aprUyaTAs,pru,,2,s,ipft,pass,,aprūyathās,pru
aprUyaDvam,pru,,2,p,ipft,pass,,aprūyadhvam,pru
aprUyanta,pru,,3,p,ipft,pass,,aprūyanta,pru
aprUyAmahi,pru,,1,p,ipft,pass,,aprūyāmahi,pru
aprUyAvahi,pru,,1,d,ipft,pass,,aprūyāvahi,pru
aprUye,pru,,1,s,ipft,pass,,aprūye,pru
aprUyetAm,pru,,3,d,ipft,pass,,aprūyetām,pru
aprUyeTAm,pru,,2,d,ipft,pass,,aprūyethām,pru
apreQvam,prI,,2,p,aor,atma,,apreḍhvam,prī
aprezata,prI,,3,p,aor,atma,,apreṣata,prī
aprezAtAm,prI,,3,d,aor,atma,,apreṣātām,prī
aprezATAm,prI,,2,d,aor,atma,,apreṣāthām,prī
aprezi,prI,,1,s,aor,atma,,apreṣi,prī
aprezwa,prI,,3,s,aor,atma,,apreṣṭa,prī
aprezWAs,prI,,2,s,aor,atma,,apreṣṭhās,prī
aprezmahi,prI,,1,p,aor,atma,,apreṣmahi,prī
aprezvahi,prI,,1,d,aor,atma,,apreṣvahi,prī
aprEzam,prI,,1,s,aor,para,,apraiṣam,prī
aprEzIt,prI,,3,s,aor,para,,apraiṣīt,prī
aprEzIs,prI,,2,s,aor,para,,apraiṣīs,prī
aprEzur,prI,,3,p,aor,para,,apraiṣur,prī
aprEzwa,prI,,2,p,aor,para,,apraiṣṭa,prī
aprEzwam,prI,,2,d,aor,para,,apraiṣṭam,prī
aprEzwAm,prI,,3,d,aor,para,,apraiṣṭām,prī
aprEzma,prI,,1,p,aor,para,,apraiṣma,prī
aprEzva,prI,,1,d,aor,para,,apraiṣva,prī
aplavata,plu,1,3,s,ipft,atma,,aplavata,plu
aplavaTAs,plu,1,2,s,ipft,atma,,aplavathās,plu
aplavaDvam,plu,1,2,p,ipft,atma,,aplavadhvam,plu
aplavanta,plu,1,3,p,ipft,atma,,aplavanta,plu
aplavAmahi,plu,1,1,p,ipft,atma,,aplavāmahi,plu
aplavAvahi,plu,1,1,d,ipft,atma,,aplavāvahi,plu
aplave,plu,1,1,s,ipft,atma,,aplave,plu
aplavetAm,plu,1,3,d,ipft,atma,,aplavetām,plu
aplaveTAm,plu,1,2,d,ipft,atma,,aplavethām,plu
aplAvayat,plu,,3,s,ipft,para,caus,aplāvayat,plu
aplAvayata,plu,,3,s,ipft,atma,caus,aplāvayata,plu
aplAvayatam,plu,,2,d,ipft,para,caus,aplāvayatam,plu
aplAvayatAm,plu,,3,d,ipft,para,caus,aplāvayatām,plu
aplAvayaTAs,plu,,2,s,ipft,atma,caus,aplāvayathās,plu
aplAvayaDvam,plu,,2,p,ipft,atma,caus,aplāvayadhvam,plu
aplAvayan,plu,,3,p,ipft,para,caus,aplāvayan,plu
aplAvayanta,plu,,3,p,ipft,atma,caus,aplāvayanta,plu
aplAvayam,plu,,1,s,ipft,para,caus,aplāvayam,plu
aplAvayas,plu,,2,s,ipft,para,caus,aplāvayas,plu
aplAvayAma,plu,,1,p,ipft,para,caus,aplāvayāma,plu
aplAvayAmahi,plu,,1,p,ipft,atma,caus,aplāvayāmahi,plu
aplAvayAva,plu,,1,d,ipft,para,caus,aplāvayāva,plu
aplAvayAvahi,plu,,1,d,ipft,atma,caus,aplāvayāvahi,plu
aplAvaye,plu,,1,s,ipft,atma,caus,aplāvaye,plu
aplAvayetAm,plu,,3,d,ipft,atma,caus,aplāvayetām,plu
aplAvayeTAm,plu,,2,d,ipft,atma,caus,aplāvayethām,plu
aplAvyata,plu,,3,s,ipft,pass,caus,aplāvyata,plu
aplAvyaTAs,plu,,2,s,ipft,pass,caus,aplāvyathās,plu
aplAvyaDvam,plu,,2,p,ipft,pass,caus,aplāvyadhvam,plu
aplAvyanta,plu,,3,p,ipft,pass,caus,aplāvyanta,plu
aplAvyAmahi,plu,,1,p,ipft,pass,caus,aplāvyāmahi,plu
aplAvyAvahi,plu,,1,d,ipft,pass,caus,aplāvyāvahi,plu
aplAvye,plu,,1,s,ipft,pass,caus,aplāvye,plu
aplAvyetAm,plu,,3,d,ipft,pass,caus,aplāvyetām,plu
aplAvyeTAm,plu,,2,d,ipft,pass,caus,aplāvyethām,plu
apluyata,plu,,3,s,ipft,pass,,apluyata,plu
apluyaTAs,plu,,2,s,ipft,pass,,apluyathās,plu
apluyaDvam,plu,,2,p,ipft,pass,,apluyadhvam,plu
apluyanta,plu,,3,p,ipft,pass,,apluyanta,plu
apluyAmahi,plu,,1,p,ipft,pass,,apluyāmahi,plu
apluyAvahi,plu,,1,d,ipft,pass,,apluyāvahi,plu
apluye,plu,,1,s,ipft,pass,,apluye,plu
apluyetAm,plu,,3,d,ipft,pass,,apluyetām,plu
apluyeTAm,plu,,2,d,ipft,pass,,apluyethām,plu
apluzRata,pluz,9,3,p,ipft,atma,,apluṣṇata,pluṣ
apluzRan,pluz,9,3,p,ipft,para,,apluṣṇan,pluṣ
apluzRAt,pluz,9,3,s,ipft,para,,apluṣṇāt,pluṣ
apluzRAtAm,pluz,9,3,d,ipft,atma,,apluṣṇātām,pluṣ
apluzRATAm,pluz,9,2,d,ipft,atma,,apluṣṇāthām,pluṣ
apluzRAm,pluz,9,1,s,ipft,para,,apluṣṇām,pluṣ
apluzRAs,pluz,9,2,s,ipft,para,,apluṣṇās,pluṣ
apluzRi,pluz,9,1,s,ipft,atma,,apluṣṇi,pluṣ
apluzRIta,pluz,9,3,s,ipft,atma,,apluṣṇīta,pluṣ
apluzRItam,pluz,9,2,d,ipft,para,,apluṣṇītam,pluṣ
apluzRItAm,pluz,9,3,d,ipft,para,,apluṣṇītām,pluṣ
apluzRITAs,pluz,9,2,s,ipft,atma,,apluṣṇīthās,pluṣ
apluzRIDvam,pluz,9,2,p,ipft,atma,,apluṣṇīdhvam,pluṣ
apluzRIma,pluz,9,1,p,ipft,para,,apluṣṇīma,pluṣ
apluzRImahi,pluz,9,1,p,ipft,atma,,apluṣṇīmahi,pluṣ
apluzRIva,pluz,9,1,d,ipft,para,,apluṣṇīva,pluṣ
apluzRIvahi,pluz,9,1,d,ipft,atma,,apluṣṇīvahi,pluṣ
apluzyat,pluz,4,3,s,ipft,para,,apluṣyat,pluṣ
apluzyata,pluz,4,3,s,ipft,atma,,apluṣyata,pluṣ
apluzyatam,pluz,4,2,d,ipft,para,,apluṣyatam,pluṣ
apluzyatAm,pluz,4,3,d,ipft,para,,apluṣyatām,pluṣ
apluzyaTAs,pluz,4,2,s,ipft,atma,,apluṣyathās,pluṣ
apluzyaDvam,pluz,4,2,p,ipft,atma,,apluṣyadhvam,pluṣ
apluzyan,pluz,4,3,p,ipft,para,,apluṣyan,pluṣ
apluzyanta,pluz,4,3,p,ipft,atma,,apluṣyanta,pluṣ
apluzyam,pluz,4,1,s,ipft,para,,apluṣyam,pluṣ
apluzyas,pluz,4,2,s,ipft,para,,apluṣyas,pluṣ
apluzyAma,pluz,4,1,p,ipft,para,,apluṣyāma,pluṣ
apluzyAmahi,pluz,4,1,p,ipft,atma,,apluṣyāmahi,pluṣ
apluzyAva,pluz,4,1,d,ipft,para,,apluṣyāva,pluṣ
apluzyAvahi,pluz,4,1,d,ipft,atma,,apluṣyāvahi,pluṣ
apluzye,pluz,4,1,s,ipft,atma,,apluṣye,pluṣ
apluzyetAm,pluz,4,3,d,ipft,atma,,apluṣyetām,pluṣ
apluzyeTAm,pluz,4,2,d,ipft,atma,,apluṣyethām,pluṣ
aplozat,pluz,1,3,s,ipft,para,,aploṣat,pluṣ
aplozata,pluz,1,3,s,ipft,atma,,aploṣata,pluṣ
aplozatam,pluz,1,2,d,ipft,para,,aploṣatam,pluṣ
aplozatAm,pluz,1,3,d,ipft,para,,aploṣatām,pluṣ
aplozaTAs,pluz,1,2,s,ipft,atma,,aploṣathās,pluṣ
aplozaDvam,pluz,1,2,p,ipft,atma,,aploṣadhvam,pluṣ
aplozan,pluz,1,3,p,ipft,para,,aploṣan,pluṣ
aplozanta,pluz,1,3,p,ipft,atma,,aploṣanta,pluṣ
aplozam,pluz,1,1,s,ipft,para,,aploṣam,pluṣ
aplozas,pluz,1,2,s,ipft,para,,aploṣas,pluṣ
aplozAma,pluz,1,1,p,ipft,para,,aploṣāma,pluṣ
aplozAmahi,pluz,1,1,p,ipft,atma,,aploṣāmahi,pluṣ
aplozAva,pluz,1,1,d,ipft,para,,aploṣāva,pluṣ
aplozAvahi,pluz,1,1,d,ipft,atma,,aploṣāvahi,pluṣ
aploze,pluz,1,1,s,ipft,atma,,aploṣe,pluṣ
aplozetAm,pluz,1,3,d,ipft,atma,,aploṣetām,pluṣ
aplozeTAm,pluz,1,2,d,ipft,atma,,aploṣethām,pluṣ
apsarAyatAm,apsaras,denom,3,s,impv,atma,,apsarāyatām,apsaras
apsarAyate,apsaras,denom,3,s,pres,atma,,apsarāyate,apsaras
apsarAyaDvam,apsaras,denom,2,p,impv,atma,,apsarāyadhvam,apsaras
apsarAyaDve,apsaras,denom,2,p,pres,atma,,apsarāyadhve,apsaras
apsarAyantAm,apsaras,denom,3,p,impv,atma,,apsarāyantām,apsaras
apsarAyante,apsaras,denom,3,p,pres,atma,,apsarāyante,apsaras
