form,root,pos,modification,form_IAST,root_IAST
kutsayitvA,kuts,gerund,,kutsayitvā,kuts
kutsitvA,kuts,gerund,,kutsitvā,kuts
kunTitvA,kunT,gerund,,kunthitvā,kunth
kupitvA,kup,gerund,,kupitvā,kup
kultvA,kul,gerund,,kultvā,kul
kusumayitvA,kusuma,gerund,,kusumayitvā,kusuma
kUjitvA,kUj,gerund,,kūjitvā,kūj
kUtvA,kU,gerund,,kūtvā,kū
kfcCrAyitvA,kfcCra,gerund,,kṛcchrāyitvā,kṛcchra
kfttvA,kft#1,gerund,,kṛttvā,kṛt#1
kftvA,kf#1,gerund,,kṛtvā,kṛ#1
kfpayitvA,kfp,gerund,caus,kṛpayitvā,kṛp
kfptvA,kfp,gerund,,kṛptvā,kṛp
kfzwvA,kfz,gerund,,kṛṣṭvā,kṛṣ
kxptvA,kxp,gerund,,kḷptvā,kḷp
kelAyitvA,kelA,gerund,,kelāyitvā,kelā
kocitvA,kuc,gerund,,kocitvā,kuc
kopitvA,kup,gerund,,kopitvā,kup
kranditvA,krand,gerund,,kranditvā,krand
kramayitvA,kram,gerund,caus,kramayitvā,kram
kramitvA,kram,gerund,,kramitvā,kram
krAntvA,kram,gerund,,krāntvā,kram
krApayitvA,krI,gerund,caus,krāpayitvā,krī
krAmayitvA,kram,gerund,caus,krāmayitvā,kram
krIqayitvA,krIq,gerund,caus,krīḍayitvā,krīḍ
krIqitvA,krIq,gerund,,krīḍitvā,krīḍ
krItvA,krI,gerund,,krītvā,krī
kruYcitvA,kruYc#1,gerund,,kruñcitvā,kruñc#1
krudDvA,kruD#1,gerund,,kruddhvā,krudh#1
kruzwvA,kruS,gerund,,kruṣṭvā,kruś
kroDayitvA,kruD#1,gerund,caus,krodhayitvā,krudh#1
klantvA,klam,gerund,,klantvā,klam
klAmayitvA,klam,gerund,caus,klāmayitvā,klam
klintvA,klid,gerund,,klintvā,klid
kliSitvA,kliS,gerund,,kliśitvā,kliś
klizwvA,kliS,gerund,,kliṣṭvā,kliś
klIbatvA,klIba,gerund,,klībatvā,klība
klIbAyitvA,klIba,gerund,,klībāyitvā,klība
kledayitvA,klid,gerund,caus,kledayitvā,klid
kleSayitvA,kliS,gerund,caus,kleśayitvā,kliś
kleSitvA,kliS,gerund,,kleśitvā,kliś
kvaTitvA,kvaT,gerund,,kvathitvā,kvath
kvATayitvA,kvaT,gerund,caus,kvāthayitvā,kvath
kzattvA,kzad,gerund,,kṣattvā,kṣad
kzatvA,kzan,gerund,,kṣatvā,kṣan
kzanitvA,kzan,gerund,,kṣanitvā,kṣan
kzapayitvA,kzI,gerund,caus,kṣapayitvā,kṣī
kzaptvA,kzap,gerund,,kṣaptvā,kṣap
kzamayitvA,kzam,gerund,caus,kṣamayitvā,kṣam
kzamitvA,kzam,gerund,,kṣamitvā,kṣam
kzaritvA,kzar,gerund,,kṣaritvā,kṣar
kzAntvA,kzam,gerund,,kṣāntvā,kṣam
kzAmayitvA,kzam,gerund,caus,kṣāmayitvā,kṣam
kzAlayitvA,kzal,gerund,caus,kṣālayitvā,kṣal
kziptvA,kzip,gerund,,kṣiptvā,kṣip
kzItvA,kzI,gerund,,kṣītvā,kṣī
kzItvA,kzi,gerund,,kṣītvā,kṣi
kzIrasyitvA,kzIra,gerund,,kṣīrasyitvā,kṣīra
kzuttvA,kzud,gerund,,kṣuttvā,kṣud
kzutvA,kzu,gerund,,kṣutvā,kṣu
kzuDitvA,kzuD#1,gerund,,kṣudhitvā,kṣudh#1
kzubDvA,kzuB,gerund,,kṣubdhvā,kṣubh
kzuBitvA,kzuB,gerund,,kṣubhitvā,kṣubh
kzepayitvA,kzip,gerund,caus,kṣepayitvā,kṣip
kzoDitvA,kzuD#1,gerund,,kṣodhitvā,kṣudh#1
kzoBayitvA,kzuB,gerund,caus,kṣobhayitvā,kṣubh
kzoBitvA,kzuB,gerund,,kṣobhitvā,kṣubh
kzveqayitvA,kzviq,gerund,caus,kṣveḍayitvā,kṣviḍ
kzveqitvA,kzviq,gerund,,kṣveḍitvā,kṣviḍ
KaqayitvA,Kaqa,gerund,,khaḍayitvā,khaḍa
KaRqayitvA,KaRqa,gerund,,khaṇḍayitvā,khaṇḍa
KanitvA,Kan,gerund,,khanitvā,khan
KAtvA,Kan,gerund,,khātvā,khan
KAditvA,KAd,gerund,,khāditvā,khād
KAnayitvA,Kan,gerund,caus,khānayitvā,khan
KintvA,Kid,gerund,,khintvā,khid
KedayitvA,Kid,gerund,caus,khedayitvā,khid
KelayitvA,Kel,gerund,caus,khelayitvā,khel
KelAyitvA,Kela,gerund,,khelāyitvā,khela
KeltvA,Kel,gerund,,kheltvā,khel
KyAtvA,KyA,gerund,,khyātvā,khyā
KyApayitvA,KyA,gerund,caus,khyāpayitvā,khyā
gaktvA,gaj,gerund,,gaktvā,gaj
gaRayitvA,gaR,gerund,,gaṇayitvā,gaṇ
gatvA,gam,gerund,,gatvā,gam
gadayitvA,gad,gerund,caus,gadayitvā,gad
gaditvA,gad,gerund,,gaditvā,gad
gadgadyitvA,gadgada,gerund,,gadgadyitvā,gadgada
gamayitvA,gam,gerund,caus,gamayitvā,gam
garjitvA,garj,gerund,,garjitvā,garj
garditvA,gard,gerund,,garditvā,gard
garDayitvA,gfD,gerund,caus,gardhayitvā,gṛdh
garDitvA,gfD,gerund,,gardhitvā,gṛdh
garvayitvA,garva,gerund,,garvayitvā,garva
garvAyitvA,garva,gerund,,garvāyitvā,garva
garhayitvA,garh,gerund,,garhayitvā,garh
garhitvA,garh,gerund,,garhitvā,garh
galitvA,gal,gerund,,galitvā,gal
galBitvA,galB,gerund,,galbhitvā,galbh
gavezayitvA,gavez,gerund,,gaveṣayitvā,gaveṣ
gavezwvA,gavez,gerund,,gaveṣṭvā,gaveṣ
gavyitvA,go,gerund,,gavyitvā,go
gAQvA,gAh,gerund,,gāḍhvā,gāh
gAlayitvA,gal,gerund,caus,gālayitvā,gal
gAhitvA,gAh,gerund,,gāhitvā,gāh
gItvA,gA#2,gerund,,gītvā,gā#2
gIrtvA,gF#1,gerund,,gīrtvā,gṝ#1
gIrtvA,gF#2,gerund,,gīrtvā,gṝ#2
guYjitvA,guYj,gerund,,guñjitvā,guñj
guRWayitvA,guRW,gerund,caus,guṇṭhayitvā,guṇṭh
gupayitvA,gup,gerund,,gupayitvā,gup
gumPitvA,gumP,gerund,,gumphitvā,gumph
gurtvA,gur,gerund,,gurtvā,gur
gUQvA,guh,gerund,,gūḍhvā,guh
gUhayitvA,guh,gerund,caus,gūhayitvā,guh
gUhitvA,guh,gerund,,gūhitvā,guh
gfdDvA,gfD,gerund,,gṛddhvā,gṛdh
gfBItvA,grah,gerund,,gṛbhītvā,grah
gfhItvA,grah,gerund,,gṛhītvā,grah
gopAyitvA,gopA,gerund,,gopāyitvā,gopā
granTitvA,granT,gerund,,granthitvā,granth
grasitvA,gras,gerund,,grasitvā,gras
grastvA,gras,gerund,,grastvā,gras
grAhayitvA,grah,gerund,caus,grāhayitvā,grah
glapayitvA,glE,gerund,caus,glapayitvā,glai
glAtvA,glE,gerund,,glātvā,glai
GawayitvA,Gaw,gerund,caus,ghaṭayitvā,ghaṭ
GawitvA,Gaw,gerund,,ghaṭitvā,ghaṭ
GawwayitvA,Gaww,gerund,,ghaṭṭayitvā,ghaṭṭ
GawwitvA,Gaww,gerund,,ghaṭṭitvā,ghaṭṭ
GarzitvA,Gfz,gerund,,gharṣitvā,ghṛṣ
GAwayitvA,Gaw,gerund,caus,ghāṭayitvā,ghaṭ
GAtayitvA,han#1,gerund,caus,ghātayitvā,han#1
GuzitvA,Guz,gerund,,ghuṣitvā,ghuṣ
GuzwvA,Guz,gerund,,ghuṣṭvā,ghuṣ
GUrRitvA,GUrR,gerund,,ghūrṇitvā,ghūrṇ
GftvA,Gf,gerund,,ghṛtvā,ghṛ
GfzwvA,Gfz,gerund,,ghṛṣṭvā,ghṛṣ
GozayitvA,Guz,gerund,caus,ghoṣayitvā,ghuṣ
GozitvA,Guz,gerund,,ghoṣitvā,ghuṣ
GrAtvA,GrA,gerund,,ghrātvā,ghrā
cakAstvA,cakAs,gerund,,cakāstvā,cakās
caYcitvA,caYc,gerund,,cañcitvā,cañc
cawitvA,caw,gerund,,caṭitvā,caṭ
cantvA,cam,gerund,,cantvā,cam
canditvA,cand,gerund,,canditvā,cand
capayitvA,ci,gerund,caus,capayitvā,ci
camitvA,cam,gerund,,camitvā,cam
cayayitvA,ci,gerund,caus,cayayitvā,ci
caritvA,car,gerund,,caritvā,car
carcayitvA,carca,gerund,,carcayitvā,carca
cartvA,car,gerund,,cartvā,car
calitvA,cal,gerund,,calitvā,cal
cazwvA,cakz,gerund,,caṣṭvā,cakṣ
cAtayitvA,cat,gerund,caus,cātayitvā,cat
cApayitvA,ci,gerund,caus,cāpayitvā,ci
cAyayitvA,ci,gerund,caus,cāyayitvā,ci
cArayitvA,car,gerund,caus,cārayitvā,car
cAlayitvA,cal,gerund,caus,cālayitvā,cal
cikitsitvA,cit#1,gerund,desid,cikitsitvā,cit#1
cikIrzitvA,kf#1,gerund,desid,cikīrṣitvā,kṛ#1
cikIzitvA,ci,gerund,desid,cikīṣitvā,ci
cikrIzitvA,krI,gerund,desid,cikrīṣitvā,krī
cicIzitvA,ci,gerund,desid,cicīṣitvā,ci
cittvA,cit#1,gerund,,cittvā,cit#1
citrIyitvA,citra,gerund,,citrīyitvā,citra
citvA,ci,gerund,,citvā,ci
cintayitvA,cint,gerund,,cintayitvā,cint
cIrtvA,car,gerund,,cīrtvā,car
cukzUzitvA,kzu,gerund,desid,cukṣūṣitvā,kṣu
cuditvA,cud,gerund,,cuditvā,cud
