Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
yuj,7 (primary),primary,aorist,active,1,du,ayujāva OR ayokṣva OR ayaukṣva,ayaukṣva OR ayujāva
yuj,7 (primary),primary,aorist,active,1,pl,ayujāma OR ayokṣma OR ayaukṣma,ayaukṣma OR ayujāma
yuj,7 (primary),primary,aorist,active,2,sg,ayujaḥ OR ayokṣīḥ OR ayaukṣīḥ,ayaukṣīḥ OR ayujaḥ
yuj,7 (primary),primary,aorist,active,2,du,ayujatam OR ayoktam OR ayauktam,ayauktam OR ayujatam
yuj,7 (primary),primary,aorist,active,2,pl,ayokta OR ayaukta,ayaukta OR ayujata
yuj,7 (primary),primary,aorist,active,3,sg,ayujat OR ayokṣīt OR ayaukṣīt,ayaukṣīt OR ayujat
yuj,7 (primary),primary,aorist,active,3,du,ayujatām OR ayoktām OR ayauktām,ayauktām OR ayujatām
yuj,7 (primary),primary,aorist,active,3,pl,ayujan OR ayokṣuḥ OR ayaukṣuḥ,ayaukṣuḥ OR ayujan
yuj,7 (primary),primary,aorist,middle,1,sg,ayukṣi OR ayuje,ayuje OR ayukṣi
yuj,7 (primary),primary,aorist,middle,1,du,ayukṣvahi OR ayujāvahi,ayujāvahi OR ayukṣvahi
yuj,7 (primary),primary,aorist,middle,1,pl,ayukṣmahi OR ayujāmahi,ayujāmahi OR ayukṣmahi
yuj,7 (primary),primary,aorist,middle,2,sg,ayukthāḥ OR ayujathāḥ,ayujathāḥ OR ayukthāḥ
yuj,7 (primary),primary,aorist,middle,2,du,ayukṣāthām OR ayujethām,ayujethām OR ayukṣāthām
yuj,7 (primary),primary,aorist,middle,2,pl,ayugdhvam OR ayujadhvam,ayujadhvam OR ayujdhvam
yuj,7 (primary),primary,aorist,middle,3,sg,ayukta OR ayujata,ayujata OR ayukta
yuj,7 (primary),primary,aorist,middle,3,du,ayukṣātām OR ayujetām,ayujetām OR ayukṣātām
yuj,7 (primary),primary,aorist,middle,3,pl,ayukṣata OR ayujanta,ayujanta OR ayukṣata
tan,8 (primary),primary,present,active,1,du,tanuvaḥ OR tanvaḥ,tanuvaḥ
tan,8 (primary),primary,present,active,1,pl,tanumaḥ OR tanmaḥ,tanumaḥ
tan,8 (primary),primary,present,middle,1,du,tanuvahe OR tanvahe,tanuvahe
tan,8 (primary),primary,present,middle,1,pl,tanumahe OR tanmahe,tanumahe
tan,8 (primary),primary,imperfect,active,1,du,atanuva OR atanva,atanuva
tan,8 (primary),primary,imperfect,active,1,pl,atanuma OR atanma,atanuma
tan,8 (primary),primary,imperfect,middle,1,du,atanuvahi OR atanvahi,atanuvahi
